l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1578.1,1763.2,1973.9,2121,2347.4,2493.6,2674.8,2776,2947.4,3047.7,3121.8,3237.4,3426.4,3547.5,3655.5,3731,3847.5,4008.2,4132.7,4241.6,4340.7,4426.2,4532.3,4605.6,4727,5122.8,5279.2,5382.8,5529.6,5721.5,5913.4,6042.5,6152.3,6252.3,6338.8,6443.2,6519.5,6639.9,6985.7,7148.7,7254.5,7415.3,7514.2,7589.6,7708.4,7853.8,7974.1,8085.9,8186.5,8272.7,8378.4,8453.4,8579.3
1613,1809.5,2014.1,2179,2386.8,2550.8,2719.7,2851.2,3002.1,3104.6,3179.2,3315.8,3499.6,3618.8,3720.1,3786.4,3928.2,4081,4201.6,4303.9,4398.4,4486.2,4595.3,4662.4,4804.8,5175,5324.7,5451.8,5669,5798,5984.5,6114.2,6215.7,6308.8,6393,6508.2,6571.3,6718.4,7033.6,7190.6,7322.4,7468.2,7578.4,7647.6,7787.5,7930.8,8046.2,8151.1,8243.4,8329.3,8443,8511.5,8654.5
