l,i,l,i,l,i,l,i,l,i,i,l,i,l,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1272.1,1432.6,1603,1754.4,1959.8,2093.5,2287.3,2397.6,2655,2765.1,3543,3719.7,3852.9,4078,4227.7,4386,4557,4688,4826.8,5014.6,5188.5,5310.2,5416.1,5490.6,5606.3,5775.3,5897.7,6005.8,6104.6,6190.5,6297.2,6370.1,6496.8
1312.4,1484,1647.4,1809.5,2001.2,2157.9,2330.4,2464.1,2696.3,2831.8,3590.1,3760.9,3914.1,4117.9,4269.5,4442.3,4602.2,4760.3,4962.6,5094,5259.7,5379.6,5483.2,5551.7,5685.8,5852.2,5971.1,6069.3,6162.2,6251,6359.6,6434,6573.9
