l,l,l,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1514,1828.9,1970.6,2297.4,2734.9,2918.3,3077.2,3258.8,3379,3488.1,3567.9,3683.3,3933.8,4041.3,4240.1,4342.7,4509.7,4676.4,4847.9,4965.8,5076.6,5152.8,5270.2,5771.6,5916.5,6014.8,6179.6,6355.6,6536.1,6653.2,6762.4,6862.1,6948.7,7055.3,7132.8,7249.3,7533.4,7697.2,7796.6,7951.6,8052.8,8247.9,8347.5,8539.9,8641.6,8792.6,8987.9,9162.1,9275.2,9385.8,9487,9573.6,9680.2,9756.3,9875.5,10101,10220,10332,10434,10522,10626,10706,10827
1545.1,1864.9,2005.4,2331.9,2801.7,3022.2,3149.7,3332.8,3449.2,3549.4,3622.2,3756.9,3975.7,4101.4,4273.4,4404.1,4617.1,4751.5,4917.7,5039.2,5138.5,5204.3,5343.3,5821.3,5949.4,6045.2,6302.5,6432.2,6609.5,6725.9,6826.7,6919.1,7002.9,7116.9,7185,7325.1,7580.7,7736.9,7829.2,7988.1,8116.1,8288.6,8413.5,8582,8702.5,8931.7,9063.9,9237,9348.9,9450.6,9545.2,9632.1,9743.9,9811.4,9955.2,10175,10293,10395,10492,10575,10690,10762,10903
