l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1001.2,1162.9,1369.5,1508.7,1692,1805.6,1965,2064.6,2139.2,2254.7,2418.4,2540.6,2648.8,2748.3,2834.2,2940.3,3015.4,3134.2,3320.7,3447.1,3555.2,3631,3749.7,4110.7,4278.7,4384.7,4533.3,4714.6,4898.6,5019.3,5128.4,5230.2,5315.8,5421.1,5496.5,5613.2,5926.5,6067,6171.5,6315.2,6511.6,6677.9,6802,6910.8,7012.4,7098.4,7204.1,7280.8,7402.7,7605.7,7726.3,7837.5,7939.4,8025.9,8133.5,8210.1,8330.9,8814.9,8919.8,9107.1,9211.6,9367.2,9553.9,9729.4,9863.3,9972.6,10075,10160,10267,10343,10463,10881,11044,11147,11306,11497,11690,11816,11926,12028,12114,12222,12298,12422
1039.4,1210.1,1409.2,1553.2,1731.5,1869.9,2019.5,2126.6,2199.1,2334.7,2491.4,2613.5,2708.8,2804.3,2894.3,3002.4,3073.8,3209.7,3392.4,3516.6,3618.4,3685.7,3827.4,4157.1,4321.5,4447.7,4662.2,4791,4970.8,5091.1,5191.2,5285.2,5375.4,5480.1,5553.6,5692.4,5980.8,6108.6,6247.9,6459.1,6591.1,6753.9,6874.4,6976,7070.1,7154,7268.6,7343.8,7484.2,7680,7801,7902.8,7995.7,8081,8198.7,8266.7,8411.1,8852.4,8984.2,9153.8,9292.8,9502.3,9634.6,9804.2,9935.2,10038,10132,10221,10331,10405,10544,10928,11089,11216,11443,11577,11763,11890,11992,12087,12176,12287,12363,12500
