l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1989.6,2209,2369.9,2708.6,2926.9,3091.9,3304.3,3466.1,3665.9,3801.5,3999,4110.3,4303.2,4422,4575.7,4675.7,4748.1,4862.4,5034.9,5146.8,5256.6,5352.3,5436.4,5549.1,5615.5,5728.4,6108.2,6292.3,6403.4,6572.1,6671.3,6743.1,6861.5,7062.1,7183.4,7291.5,7390.9,7474.3,7587.7,7653.1,7769.9,8054.9,8245.5,8358.1,8508,8694.2,8896.9,9017.7,9127.4,9226.2,9308.9,9414.7,9489.6,9606.6,9821.3,9936.7,10047,10146,10230,10334,10407,10526,10781,11002,11108,11277,11377,11456,11568,11752,11871,11979,12080,12166,12280,12349,12465,12659,12780,12892,12993,13078,13181,13256,13381,13676,13878,13995,14163,14264,14340,14461,14664,14788,14895,14995,15081,15187,15267,15384,15722,16082,16529,16651,16876,17010,17218,17344,17607,17717,17956,18066,18270,18373,18532,18715,18889,19007,19124,19193,19310,19503,19631,19742,19843,19929,20034,20109,20230
2026,2254.5,2408.7,2757.3,2973.4,3140.2,3346.5,3516.8,3709.8,3862.7,4044.3,4180.3,4350.4,4485.2,4631.7,4739.7,4808.1,4942.7,5105.6,5216.9,5320.2,5409.7,5495,5595.3,5659.2,5804.1,6165,6339.4,6482.6,6630.4,6737.1,6804.2,6939.6,7132.3,7258,7356,7447.9,7534.6,7633.9,7700.5,7847.7,8112.2,8294.5,8434.8,8645.1,8777.2,8967.5,9091,9191.8,9283.5,9369.9,9471.7,9539.7,9686.2,9891.9,10009,10112,10202,10290,10400,10466,10606,10841,11049,11190,11336,11435,11503,11648,11827,11947,12046,12138,12234,12330,12396,12546,12733,12853,12958,13051,13136,13247,13319,13463,13735,13927,14071,14224,14331,14399,14541,14736,14862,14961,15054,15141,15247,15314,15464,15780,16128,16573,16722,16923,17072,17266,17415,17656,17792,18006,18137,18320,18455,18666,18796,18966,19081,19174,19241,19390,19575,19704,19808,19901,19999,20101,20173,20308
