l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1975.7,2265.6,2415.4,2649.9,2835.3,3030.6,3229.1,3392,3590.3,3764.2,3991.5,4479.8,4672.3,4794.3,5017.7,5134.5,5319.9,5432.9,5596.8,5695.7,5768.9,5885.2,6048.9,6163.9,6273.1,6347.8,6463.2,6661,6780,6887.4,6987.5,7072.4,7178.4,7251,7371.7,7681.5,7857.4,7963.5,8123,8225,8298.8,8417.5,8591.8,8711.6,8819.1,8918.6,9004,9118.8,9185,9301.8,9758.8,9928.9,10135,10240,10401,10502,10580,10692,10883,11004,11115,11215,11299,11412,11481,11597,11931,12102,12221,12370,12558,12749,12871,12980,13079,13163,13271,13344,13464
2007.2,2307.7,2451.7,2695.8,2874.4,3075.6,3274.9,3447.4,3636.4,3823.1,4036,4533.5,4717.2,4862.1,5060,5206.2,5366.3,5504.4,5652.6,5759.1,5830.5,5962.6,6120.7,6236.8,6329.5,6394.2,6540.2,6733.6,6851.6,6952.5,7042.9,7131.2,7243.4,7312.1,7448.6,7736.8,7902.1,8037.8,8183.1,8290.8,8361.6,8497.5,8664.6,8782.4,8884.8,8974.8,9064.6,9165.2,9232,9378.9,9801.3,9983.9,10184,10319,10459,10557,10627,10772,10956,11077,11181,11271,11359,11462,11529,11676,11986,12151,12298,12504,12637,12822,12944,13045,13137,13224,13335,13408,13543
