l,l,i,l,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1974.8,2298.8,2939.4,3156.5,3307.2,3511.2,3762,3943.7,4142.7,4353,4488.6,4682.9,4823.5,5048.5,5197,5380.7,5496.9,5706.5,5812.2,5888.7,6007.7,6191.9,6312.6,6420.6,6521.4,6607.7,6714,6789.9,6912,7096.7,7215.7,7324.4,7402.9,7518.6,7748.4,7861,8008.2,8203.7,8406.4,8527.9,8638.5,8715.4,8836.9,9078.9,9201.5,9312.6,9413.6,9500,9605,9680.6,9801.8,10079,10219,10325,10497,10668,10855,10976,11087,11167,11287,11465,11585,11694,11797,11883,11988,12066,12187,12612,12784,12889,13046,13151,13227,13348,13542,13663,13776,13879,13968,14074,14153,14276
2008,2335.8,2981.2,3196.8,3347.7,3564.3,3800.4,3986.7,4193.2,4396.8,4549.3,4728.1,4887.2,5089.7,5253,5428.4,5567.9,5765.5,5873.9,5951.7,6086.6,6266.1,6383.1,6488.1,6577.5,6669.2,6779.9,6850.6,6991.8,7167.2,7287.3,7390.4,7457.2,7597.6,7790.6,7934.5,8148,8282.5,8478.8,8601.3,8701.8,8771.8,8916.7,9152.3,9273.3,9378.1,9471.1,9556.8,9668.3,9738.8,9882.4,10134,10263,10393,10611,10746,10928,11053,11152,11231,11368,11542,11661,11758,11854,11944,12055,12120,12265,12663,12830,12957,13107,13213,13289,13427,13617,13741,13843,13937,14028,14138,14211,14359
