l,i,l,l,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1724,2574,2716.3,2774,2873.2,3016.3,3129.9,3235.9,3337.9,3421.7,3524.6,3601,3714,3893.9,4010.8,4118.2,4222.5,4307.6,4410.1,4488.7,4605.8,4764.1,4883,4992.8,5092.1,5176.9,5283.2,5358.8,5476.6,5709.8,5842.3,5945.4,6117.1,6220.5,6377.3,6557.2,6700,6817.9,6929.1,7032.1,7115.3,7220.2,7299,7417.2,7691.4,7836.2,7938.9,8109.3,8285.5,8472.7,8595.1,8705.5,8806.5,8891.9,8998.5,9075.1,9190.2,9507.5,9643.5,9750.7,9898.1,10082,10254,10373,10483,10585,10671,10776,10856,10973,11277,11378,11534,11800,11891,12043,12142,12224,12341,12502,12621,12731,12834,12921,13027,13106,13226
1758.9,2612.4,2768.8,2816.5,2947.2,3087.6,3196.9,3295.9,3389.8,3473.6,3581.8,3649.8,3790,3962,4081.8,4177.8,4276.2,4359.8,4469.4,4528.1,4679.4,4838.1,4954.9,5053.4,5147.3,5232.6,5346.9,5410.5,5549.8,5764.9,5883.7,6008.7,6158.8,6285.9,6497.4,6633.1,6772.1,6891.8,6992.1,7086.5,7169.8,7283.5,7353.4,7492.3,7739,7882.2,8001.7,8227.4,8365.2,8545.3,8670.1,8770.3,8864.6,8951,9061.3,9131.8,9270.6,9560.6,9689.2,9818.1,10025,10158,10329,10447,10549,10644,10729,10838,10905,11050,11316,11438,11574,11831,11952,12094,12204,12269,12418,12578,12696,12795,12889,12977,13090,13163,13304
