l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i
1977.4,2184.6,2333.8,2532.5,2762.5,2919.8,3196.1,3335,3509.6,3683.8,3911.9,4071.6,4268.5,4419.3,4563.5,4754.2,4943.7,5060,5165.5,5242.1,5355,5534.8,5651.7,5760.8,5860.3,5944.8,6049.8,6126.6,6242.2,6806.3,6935.6,7101.6,7206.1,7361.1,7556.8,7753.3,7875.6,7984.5,8064.2,8177.5,8357.8,8482.4,8591.3,8692.3,8778.2,8883.7,8960.3,9079.2,9541.5,9692.6,9795.3,9943.7,10126,10311,10427,10542,10642,10731,10834,10911,11031,11361,11525,11628,11784,11971,12146,12263,12375,12453,12570,12821,12991,13096,13255,13446,13640,13761,13872,13953,14068,14454,14610,14714,14922,15024,15180,15378,15527,15647,15757,15834,15952,16154,16276,16387,16489,16574,16682,16758,16880,17332,17500,17611,17761,17955,18154,18274,18384,18485,18570,18677,18755,18875,19105,19241,19351,19455,19541,19647,19726,19847,20221,20381,20491
2012.9,2222.3,2372.6,2576,2797.7,2968.8,3231.6,3379.9,3547,3728,3948.9,4125.7,4307.1,4473.9,4697.1,4827.4,5013.9,5130.1,5229.5,5298.6,5432,5608.2,5723.4,5823.9,5915.5,6000,6115.1,6179,6319.7,6840.3,6992.5,7141.2,7272.4,7497.5,7630.6,7823.5,7944.2,8044.9,8120.5,8258.3,8429.6,8552.1,8654.4,8749.6,8831.7,8946.7,9017,9157.9,9592.2,9734.1,9861.7,10076,10200,10383,10503,10606,10702,10790,10899,10969,11107,11412,11567,11701,11916,12047,12218,12337,12441,12511,12649,12875,13040,13167,13393,13527,13714,13836,13936,14010,14150,14508,14655,14781,14966,15093,15326,15456,15604,15718,15821,15895,16032,16227,16348,16450,16546,16631,16746,16819,16954,17385,17541,17685,17899,18035,18225,18348,18450,18543,18630,18741,18810,18953,19176,19312,19416,19513,19602,19712,19786,19925,20273,20425,20553
