l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,i,l,i,f,a,b,r,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1615.6,1789.4,1973.3,2156.9,2326.8,2461.6,2648.9,2790.4,2981.8,3085.1,3282.7,3383.1,3532.4,3713.5,3880.6,3998.8,4105.8,4179.2,4294.3,4458.6,4579.4,4687,4786.8,4871.6,4977.3,5051.2,5172.2,5491.2,5649,5755.3,5900.8,6093.3,6272.6,6391.8,6501.5,6576.5,6692,6886.5,7009.6,7126.8,7196.2,7314,7500.1,7627.8,7738.3,7835.9,7921.2,8028.1,8101.7,8219.9,8499.7,8650.9,8756.3,9187.7,9358,9465.1,9743.9,9851.1,10001,10181,10351,10474,10583,10658,10773,10953,11072,11183,11282,11373,11476,11551,11672,11861,11985,12096,12174,12289,12733,12898,13002,13289,13421,13603,13714,13955,14058,14517,14705,14813,15063,15163,15237,15355,15785,15891,16028,16140,16412,16514,16854,16997,17156,17261,17762,17884,18021,18129,18425,18534,18822,18948,19094,19207,19376,19476,19551,19668,19848,19962,20074,20174,20261,20367,20444,20562,20744,20870,20978,21055,21175
1645.8,1832,2010.6,2204.7,2369.8,2515.3,2690.3,2841.3,3021.5,3149.3,3325,3449.3,3657.4,3786.2,3952.8,4069.4,4169.5,4236.8,4372.1,4534.4,4650.8,4748.8,4842.2,4924.8,5039.8,5107.6,5247.8,5545.7,5692.7,5829.6,6036.4,6169.2,6344.8,6464.1,6565.2,6632.7,6773,6960.6,7080.8,7174,7242.2,7392.3,7574.1,7700,7799.4,7893.8,7978.7,8090.8,8159.6,8293.7,8550.4,8694.3,8825.1,9243.3,9403.4,9533.4,9784.8,9920.8,10127,10258,10425,10546,10647,10715,10852,11026,11147,11246,11339,11431,11539,11608,11748,11935,12058,12159,12229,12368,12782,12946,13073,13333,13484,13644,13783,13994,14125,14566,14749,14881,15112,15221,15290,15433,15826,15959,16072,16215,16455,16586,16897,17053,17199,17327,17805,17940,18066,18200,18467,18596,18864,19009,19141,19270,19428,19534,19607,19746,19921,20037,20140,20231,20315,20430,20499,20640,20817,20941,21043,21112,21249
