l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1628,1828,1975.3,2150.4,2374.8,2538.7,2766.7,2923.8,3128.7,3325.1,3554.9,3737.6,3974.4,4111.7,4269.3,4368.1,4440.9,4557.1,4732.6,4857.2,4965.6,5037.9,5155.6,5571,5724.4,5826.2,5981.1,6159.8,6337.1,6456.6,6566.2,6667.6,6751.2,6857.4,6931.9,7049.7,7322.1,7498.4,7601.2,7747.3,7943.7,8122.4,8246.9,8354.8,8427.6,8544.6,8710.8,8834.1,8942.6,9017.9,9133.9,9433.2,9616.1,9717.8,9876.2,9984,10125,10315,10482,10602,10713,10788,10907,11090,11212,11323,11422,11508,11615,11691,11812,12152,12342,12444,12602,12704,12855,13048,13211,13331,13441,13543,13629,13737,13813,13931,14111,14234,14346,14446,14532,14639,14715,14835
1666.6,1868.5,2017.5,2195.2,2412.4,2583.1,2804.3,2974.4,3165.8,3371.8,3594.3,3793.3,4011,4166.1,4317.6,4424.6,4497.7,4633.5,4805,4928.5,5028.8,5094.8,5233.2,5623.7,5764.2,5896.5,6109,6237.2,6411.9,6528.2,6628.1,6722.1,6804,6921,6988.4,7124.5,7377.2,7543.7,7671.7,7888.8,8019.7,8196.9,8316.6,8418.5,8485.8,8623.5,8783.9,8903.9,9004.9,9073.6,9211.5,9491.2,9660.5,9793.4,9922.1,10056,10266,10394,10557,10677,10776,10846,10987,11166,11285,11387,11479,11561,11674,11747,11886,12208,12388,12511,12644,12774,12990,13127,13285,13405,13508,13600,13689,13801,13867,14013,14187,14307,14408,14504,14588,14704,14774,14917
