l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1995.7,2213.8,2390.7,2509,2705.8,2843.3,3018.1,3118.9,3264.3,3446.3,3604.3,3720.4,3826.2,3920.2,4015.8,4160.4,4280.7,4391.9,4489,4572.4,4675.4,4749.1,4866.9,5060.6,5210.2,5319,5419.7,5505.2,5609.1,5682.6,5804.4
2032.9,2266.7,2438.4,2573,2750.9,2907.4,3067.8,3196.4,3394.8,3522.8,3676.7,3794.1,3889.2,3963,4097.7,4236.4,4355.9,4455.2,4545.6,4633.1,4745,4807.1,4943.4,5131.5,5286.8,5385.1,5475.4,5565.7,5678.2,5742,5881.7
