l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1995.9,2172.7,2336.9,2494.6,2666.8,2789.8,2997.2,3110,3264.6,3362.5,3435.3,3549.6,3732.8,3847,3954.2,4054.3,4138.3,4240.4,4313.1,4431.3,4648.2,4771,4879.9,4980.5,5066.5,5168.1,5242.9,5364.3,5605.3,5765.5,5866.3,6021.5,6204.6,6398.4,6515.4,6622.3,6701.9,6818.6,6988.9,7111.7,7221,7296.1,7413.6,7635.4,7763,7874.7,7973.1,8058.2,8162.3,8235.8,8354.6,8627.3,8815.8,8918.6,9073.7,9260,9446.3,9563.4,9673.8,9749.5,9865.3,10039,10160,10269,10369,10455,10558,10634,10755,11012,11154,11258,11413,11525,11763,11920,12130,12239,12434,12534,12610,12727,12884,13006,13115,13215,13301,13406,13482,13603
2035.9,2222.1,2381,2550.6,2702.8,2857.2,3036.5,3174.8,3319.5,3425,3489.4,3629.6,3806.7,3921.9,4019.1,4108.4,4197.7,4304.7,4373.5,4507.6,4723.7,4843.3,4947.4,5036.8,5130.9,5231,5299.9,5442.9,5665.6,5810.6,5939.2,6151.5,6284.3,6470.2,6587.8,6688.4,6759.6,6898.7,7064.1,7187.6,7287.8,7359.1,7491.8,7713.7,7839.1,7939.5,8029.5,8117.8,8226.4,8293.2,8431.2,8678,8857.2,8991.2,9209.4,9340.1,9520.1,9639.9,9729.9,9796.1,9946.4,10116,10235,10335,10427,10514,10621,10700,10836,11060,11198,11331,11453,11595,11807,11983,12176,12305,12491,12598,12671,12807,12961,13082,13179,13273,13362,13469,13539,13682
