l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,f,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1979.8,2144.4,2325.4,2449.3,2654.6,2769.8,3025.5,3140.7,3346,3454.7,3618.1,3806.2,3970.8,4086.1,4193.4,4291.6,4375.9,4479.7,4553.9,4669.5,4843.2,4959.8,5068.2,5167.2,5252.2,5357.4,5432.3,5549.3,5861.6,6097.5,6197.8,6355.3,6457.3,6531.3,6646.1,7187.1,7369.8,7476.4,7666.5,7788.3,7903.2,8002.9,8086.9,8190.5,8264,8382.5,8580.9,8706.2,8812.4,8913,8996.8,9101,9178.4,9294.5
2018.9,2185.4,2360.7,2496.9,2691.8,2835,3061.1,3198.5,3386.6,3519.5,3756.5,3881.9,4041.6,4155.4,4257,4347.4,4434.6,4543.8,4610.9,4748.3,4916,5031.5,5133.1,5224.2,5310.2,5420.7,5491.7,5627.4,5916.9,6139.1,6267.9,6413.8,6519.9,6588.3,6724.4,7239.6,7412.4,7547.6,7731.5,7862.8,7966.8,8060.2,8145.2,8251.3,8327.3,8462.2,8652.5,8778.1,8877.7,8970.4,9056.6,9165.8,9236.2,9369.3
