l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l
1150.9,1296.5,1471.1,1712.6,1830.8,1981.9,2081.3,2154.7,2272.9,2512,2634.8,2742.2,2840.8,2926.2,3031.8,3104.2,3223,3697.5,3911.7
1190.2,1332.5,1520.4,1749.6,1895.2,2039.5,2140.6,2210.8,2350.7,2581.6,2702.6,2803.8,2898,2986.4,3092.2,3162.6,3295.7,3746.2,3950.1
