l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i
1983,2188.8,2421.5,2565.5,2718.1,2826.9,3026.3,3132.7,3297.1,3397.2,3472.8,3592.5,3785.2,3915.2,4026,4127.6,4213.6,4319.4,4394.2,4513.4,4831.3,4987.4,5090.6,5253.3,5355.5,5430.4,5546.9,5756.7,5876.9,5987.8,6089.4,6177,6285.4,6359.7,6478.9,6984.8,7139.8,7243.4,7438.6,7543.2,7829,7960.8
2018.3,2233.7,2455.4,2609.1,2757.4,2887.2,3069.9,3204.1,3353.3,3461.9,3535.7,3668.9,3860.2,3987.9,4091,4185.9,4272.8,4382,4458,4590.2,4888.5,5031.5,5166.4,5314.5,5420,5488.4,5624.7,5829.7,5950.2,6053,6147.3,6236.1,6348.7,6416.2,6557.8,7032.7,7183.9,7316.3,7483.3,7621.8,7870.5,8026.5
