l,i,l,i,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1028.1,1144.8,1342.2,1441.3,1764.8,1984.2,2091.2,2279.7,2380.3,2454,2569.2,2729.5,2848.4,2956.4,3037.7,3149,3420.2,3606.5,3741.8,4047.9,4150.2,4307.7,4490.9,4655.7,4773.4,4882.4,4984.5,5069.2,5172.2,5248.6,5367,5621.8,5779.2,5882.2,6034.2,6221.1,6397.4,6513.9,6625.8,6725.6,6810.4,6914.9,6991.5,7109.7,7309.8,7430.3,7539.3,7642.7,7725,7829.3,7909,8026.7,8307.6,8466.5,8571.3,8729.4,8918.2,9097.1,9216.7,9326.6,9406.3,9521.5,9688.3,9810.1,9921.2,10023,10109,10213,10292,10414
1062.2,1196.3,1378.3,1496.6,1825.5,2023.6,2155.9,2329.3,2438.2,2511.3,2646.6,2802.4,2921,3019,3090.9,3225.8,3475.7,3646.8,3778.7,4086.1,4215.9,4437.4,4568.3,4731.5,4844.7,4945.5,5039.8,5124.3,5233.6,5306.2,5441.5,5677.2,5821.2,5960.4,6165.7,6297.9,6470,6588.8,6690,6781.4,6870.9,6975.2,7046.9,7188,7383.5,7502.6,7604.7,7698.4,7781.5,7893.2,7965.2,8104.2,8363.3,8506.1,8643.2,8860.9,8994.4,9170.9,9291,9390.8,9458.9,9600.7,9761.3,9885.3,9985.9,10079,10169,10280,10349,10492
