l,l,l,i,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1992.9,2155.4,2536.7,2650.4,2926.1,3121.8,3240,3414.4,3513.5,3590.1,3704.7,4154.1,4298.6,4404,4548.1,4726,4934.6,5052.2,5155.8,5231.2,5345.2,5510.6,5633.4,5740.4,5814.2,5932.1,6584.7,6729.6,6896.7,7004.2,7156.6,7259.2,7475.6,7582.9,7733.6,7924.8,8078.4,8197.3,8300.9,8377.1,8493.6,8928,9045.9,9186.4,9292.8,9455.6,9646.3,9824.3,9943.5,10053,10129,10244,10704,10886,10993,11236,11338,11482,11606,11804,11909,12059,12259,12480,12601,12709,12786,12902
2023.6,2192.4,2574.8,2705.4,2973.8,3164.2,3305,3469.3,3572.7,3647.2,3779,4204.4,4339.8,4482.5,4671.4,4804.5,5003,5120.5,5221.7,5287.2,5425.3,5584.2,5702,5806,5876.8,6011,6622.5,6783.6,6940.6,7079,7198.6,7336.2,7518.2,7656.8,7872.3,8003.6,8151.5,8268.8,8366.9,8439.5,8570.6,8968.2,9115.4,9232.7,9361.6,9594.6,9725.7,9895.5,10019,10117,10187,10324,10758,10930,11067,11280,11415,11527,11680,11848,11990,12211,12338,12552,12674,12776,12844,12982
