l,l,i,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1045.1,1228.8,1403.4,1613.4,1769.9,1989.2,2140.6,2397.1,2592.1,2780.3,2941.2,3256.3,3433.7,3536.4,3680.1,3866.6,4080.6,4202.5,4316.7,4384.2,4496.7,4672.1,4789.1,4895.5,4994.1,5078.2,5183.2,5256.4,5372,5688.7,5870.1,5975,6120.4,6311,6491.3,6611.9,6717.7,6793.7,6909.2,7247.9,7453.2,7553.8,7697.4,7886.4,8072.8,8191.7,8302.2,8400.1,8484.8,8590,8665.5,8781.1,8980.3,9101.3,9210.7,9284.3,9399.1,9816.5,9984.9,10084,10237,10429,10593,10717,10826,10902,11019,11214,11342,11452,11550,11634,11738,11813,11930
1081.8,1267.5,1448,1649.7,1815.8,2025.8,2188.3,2434,2642.1,2820.9,2996.9,3312,3473.6,3610.5,3817.2,3942.9,4149.6,4269.8,4362.9,4423.7,4577.4,4743.9,4860,4957.5,5049.8,5132.2,5246,5315.8,5448.3,5740.8,5913,6041.1,6259.1,6389.7,6563.7,6681.4,6782.5,6848.4,6989.9,7306.4,7496,7626.2,7835.8,7966.3,8143.8,8263.1,8366.6,8458.1,8544.9,8653.6,8723,8857.5,9054.8,9173.1,9275.2,9339.1,9479.6,9869.6,10028,10161,10381,10507,10670,10793,10893,10962,11100,11287,11416,11514,11608,11695,11803,11875,12007
