l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1984.6,2140,2288.7,2395.4,2582.4,2694.3,2967.9,3079.9,3236.1,3424.9,3609.6,3729.3,3835.7,3911.8,4029,4365.6,4530.8,4635.9,4885.2,4992.6,5152.5,5255,5330.1,5450.6,5634.8,5758.3,5867.9,5966.3,6081.7,6354.7,6514.9,6620.3,6770.3,6962.9,7142.1,7258.9,7372.7,7448.7,7564.9,7746.1,7868.7,7977.4,8078.9,8164.6,8271.7,8349,8471.2,8852.4,8965.2,9137.6,9244.4,9399,9584.4,10003,10126,10271,10377,10527,10721,10902,11022,11132,11236,11323,11427,11505,11624,11987,12142,12248,12395,12541,12683,12790,12974,13078,13231,13431,13615,13738,13852,13927,14046,14248,14373,14485,14587,14673,14781,14858,14979
2022.3,2194.3,2327,2459.4,2625.7,2764.3,3012.1,3151.2,3367.5,3498.3,3682.6,3798.7,3896.9,3968.7,4106.9,4419.2,4574.5,4705.2,4928.2,5066,5206.2,5318.4,5387.1,5526.6,5707.3,5830.1,5928.9,6010.4,6150,6408.8,6555.3,6695.9,6910,7041.7,7216.3,7334.1,7438.2,7508.2,7645.7,7822.2,7940.9,8041.2,8135,8225.7,8337.9,8404.4,8550,8893.3,9038.4,9182.2,9313.1,9530.6,9662.6,10046,10192,10314,10450,10666,10800,10977,11098,11200,11294,11383,11494,11563,11704,12047,12187,12324,12439,12610,12729,12866,13017,13155,13374,13507,13689,13813,13916,13982,14125,14326,14448,14549,14643,14730,14846,14913,15061
