l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1985.7,2212.9,2395.5,2563.3,2781.6,3043.8,3228.2,3348.2,3522.8,3626.8,3704.8,3821.5,3999.3,4116,4227.8,4328.5,4414.6,4522.4,4599.9,4717.2,5016.4,5185.4,5290.7,5450.7,5552.8,5630,5749.6,5948.1,6068.2,6179.7,6282.5,6368.9,6477.3,6552.7,6674.9,6879.4,7003.9,7116.2,7219.7,7306.2,7415,7493.1,7612.9,8156,8264.1,8476.5,8581.8,8752.5,8859.8,9025.3,9131,9212.8,9329.9,9595.2,9780.2,9884.1,10041,10232,10401,10529,10640,10744,10834,10943,11021,11145
2017.2,2255.7,2434.3,2618.5,2820.1,3092.9,3267.6,3411.9,3580.5,3688.5,3761.3,3898.4,4072,4190.8,4293.1,4387,4477.4,4588.8,4657,4794.3,5073.9,5228.2,5361.5,5508.8,5618,5691.4,5829.5,6021.8,6142,6244.9,6342.6,6427.2,6540.1,6613.9,6755.2,6955.6,7076.5,7182.1,7277,7368.5,7481.7,7552.6,7689.2,8196.6,8334.3,8519.1,8652.7,8795,8933.3,9084.2,9193.9,9267.4,9408.5,9657.3,9821.8,9954.5,10178,10311,10476,10603,10708,10806,10896,11009,11081,11226
