i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1110.1,1297.8,1424.8,1617.5,1756.5,1965.1,2107.3,2293.6,2395.2,2547.8,2732.3,2900.2,3012.5,3124.8,3199.4,3317.4,3505.5,3627.9,3735.8,3834.7,3918.8,4024.7,4101,4220.8,4430,4550,4658.8,4757.6,4844.8,4949.6,5023.8,5146.5,5702.2,5875.4,5978.8,6141,6328.6,6504.8,6623.8,6732.4,6832.4,6919,7022,7097.8,7217.9,7416.5,7534.6,7642.9,7718.8,7834.7,8112.2,8257.8,8360.5,8500.1,8695,8880.7,9002.1,9110.5,9209.9,9296.5,9402.1,9478.6,9594.1,9784,9910.8,10020,10121,10206,10314,10390,10513
1154.8,1336.6,1474.3,1658.1,1808.7,2004.4,2165.4,2332.9,2460.2,2679.3,2807.7,2971.3,3088.8,3189.3,3260.1,3396.3,3577.4,3697.6,3797.7,3888,3977.7,4084.8,4155.7,4296.5,4502,4621.3,4721.2,4815.2,4903.7,5012.1,5081.9,5218.4,5750.1,5915.6,6043.8,6271.6,6406.7,6576.6,6695.2,6797.4,6889.6,6977.4,7086.3,7153.3,7297.9,7487.5,7605.6,7708.4,7775.7,7914.3,8162.6,8300.4,8430.8,8639.3,8773.7,8952.5,9074.4,9170.6,9266.2,9350.1,9465.2,9534.7,9673.6,9858.5,9983.9,10085,10177,10265,10377,10451,10587
