l,i,l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r
1985.6,2215.1,2409.1,2521.4,2664.3,2863.2,2980.5,3151.3,3252.9,3405.2,3581.1,3751.6,3862.5,3969,4066.6,4148.6,4249,4322.4,4435.5,4709.9,4885.1,5014.7,5137,5319,5491.3,5604.7,5713.3,5810.3,5893.8,5997.3,6072.2,6188.3,6511.5,6664.1,6759.6,6907.2,7089.7,7233.5,7349.4,7456.1,7557.8,7642.7,7746.6,7821.4,7934.5,8355.6,8514.9,8641.9,8776.9,8875.5,8949.8,9062.8,9325.3,9454.2,9555.6,9726.1,9825.3,9899,10017,10201,10317,10426,10526,10611,10713,10789,10907,11421,11525,11698,11804,12044,12147,12301,12403,12476,12596
2017.8,2261.9,2446.3,2557.5,2712.2,2898.7,3037.4,3190.4,3314.2,3531.9,3657,3820.6,3932.4,4030.8,4120,4205,4307.3,4375.4,4512.2,4766.1,4924.4,5056.2,5271,5393.6,5563,5677.2,5776.5,5867.5,5953.3,6059.8,6125.5,6265.6,6561,6706.9,6825.6,7038.4,7168.3,7305.2,7421.3,7522.6,7614.5,7701.3,7811,7872.6,8010.2,8405.1,8558.9,8682.8,8831.8,8938.1,9004.8,9140.1,9388.8,9498.4,9629.6,9783.8,9890.5,9963.2,10095,10273,10390,10490,10583,10671,10778,10844,10985,11461,11593,11741,11871,12085,12219,12357,12467,12535,12671
