l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1984.6,2222.1,2374.9,2533.8,2719.7,2846.6,3061.7,3193.2,3358.2,3462.3,3537.9,3655.4,3846.6,3968.4,4077.8,4180.1,4267.4,4373.2,4450.5,4568.1,4770.1,4894.6,5005.7,5108.2,5195.5,5301.8,5378.1,5495.8,5690.3,5813.1,5925.3,6003,6123.8,6450.2,6614.9,6719.4,6871.5,7061,7254.2,7373.7,7481.6,7559,7679.1,8013.8,8174.5,8279.1,8445.8,8549.3,8625.4,8743.9,8942.9,9061.7,9175,9276.3,9362.5,9469.5,9548.9,9668.5,10069,10220,10324,10487,10680,10866,10990,11100,11177,11295,11499,11622,11735,11837,11924,12032,12109,12231
2019.4,2268.5,2411.9,2572.1,2757.5,2886.9,3101.8,3232.4,3415.2,3521.3,3598.7,3730.7,3917.7,4039.2,4141.9,4236.8,4327.1,4437.7,4506.9,4646.6,4842.7,4963.9,5066.6,5162.1,5248.3,5366.4,5434.3,5577.4,5764.5,5887.9,5988.7,6060.3,6201,6505.8,6656.7,6783.2,7007.5,7137.6,7327,7446.2,7549.2,7621.9,7759.4,8072.5,8221.3,8351,8505.6,8614.2,8684.5,8824.4,9016.5,9139.4,9239.8,9334.6,9424.3,9534.4,9604.6,9749.9,10125,10263,10403,10628,10759,10941,11064,11166,11233,11377,11573,11696,11802,11896,11985,12100,12166,12312
