l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1548,1745.7,1986.6,2112.8,2293.2,2481.5,2644.4,2842.1,3014.4,3265.1,3424.1,3583.2,3692.6,3886,3994.2,4146.6,4320.9,4475.2,4596.1,4704.6,4781.2,4897.7,5094.3,5212.5,5324.2,5424.2,5510.5,5616.2,5691.8,5811,5991.4,6100.4,6374.9,6511.6,6622.8,6791.3,6965.4,7121,7242,7353.6,7437.5,7553.3,7747.4,7870.2,7983.4,8058.2,8177.5,8371.5,8491.2,8603.1,8703.6,8790,8901.4,8977.5,9096.8,9427.1,9551.6,9659.8,9823.4,9998.5,10175,10299,10409,10512,10600,10706,10783,10902,11191,11386,11494,11646,11830,12003,12124,12236,12338,12426,12532,12609,12731
1580.3,1789.2,2025.5,2151.4,2345.2,2520.1,2698,2883.4,3061.5,3306.5,3479.2,3623.4,3758.6,3927.9,4061,4267.5,4398.4,4549.7,4669.1,4769.3,4839.4,4975.9,5169,5288.7,5385.6,5480.2,5565.8,5676.4,5744.5,5891.7,6036.1,6178.2,6422.9,6556.8,6691.9,6910.8,7043,7197.2,7317.9,7419.1,7489.8,7633.2,7821.4,7947,8047.2,8113.8,8254.5,8447.2,8566.3,8666.1,8760.6,8844.7,8966.2,9030.1,9175.8,9480.2,9594.6,9728.2,9940.1,10077,10252,10375,10476,10570,10661,10771,10840,10984,11252,11432,11564,11774,11910,12077,12199,12303,12397,12485,12599,12668,12809
