l,l,l,l,i,l,i,l,i,i,l,i,l,i,f,a,b,r,n,n,a,l,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1989.4,2159.4,2337.1,2631.9,2776.6,2963.1,3133.3,3325.8,3505.1,3994.5,4176.4,4325.1,4527.8,4831.4,4970.6,5071.9,5147,5263.9,5447.8,5569.3,5676.8,5779.8,5892.1,6166.8,6346.3,6450.1,6599.7,6789.3,6964.5,7080.4,7186.6,7262.3,7380.4,7559.8,7683,7790.8,7890.7,7975,8081.5,8158.3,8277.2,8717.2,8885.5,9020.6,9134.8,9324.9,9514.5,9633.2,9743,9844.2,9929.5,10035,10111,10230,10409,10533,10643,10745,10832,10939,11014,11134,11649,11806,11908,12068,12257,12448,12565,12677,12778,12863,12970,13046,13167
2025.5,2202.3,2375.6,2670.2,2824,3004,3184.8,3366.1,3550.3,4049,4215,4379.2,4568.6,4878.3,5027.4,5129.8,5201.7,5334.7,5519,5640.5,5741.8,5815.2,5964.9,6219.1,6389.8,6520.6,6735.1,6865.1,7033.5,7155.3,7247.7,7317.9,7456.1,7635.6,7752.8,7853.5,7944.8,8036.5,8141.6,8210.7,8354.6,8762.7,8926.4,9057.9,9266.8,9402.3,9588.2,9707,9807.2,9900.7,9990.3,10096,10167,10307,10487,10607,10708,10799,10891,11002,11074,11209,11704,11852,11984,12206,12334,12522,12644,12742,12833,12925,13032,13101,13244
