l,l,i,l,l,i,l,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,l,i,l,i,f,a,b,r,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1323.8,1988.3,2216.1,2449.6,2633.3,2798.3,2985.9,3627.6,3750.7,3939.4,4070.5,4200.5,4357,4456.1,4532.9,4649.8,4839.9,4962,5071.9,5175.8,5262,5387.2,5465,5587.8,5990.5,6172.9,6281.4,6431.5,6612.2,6820.4,6935.5,7047.9,7153.1,7464.1,7595.1,7824.1,7947.9,8103.4,8206.7,8284.2,8403.7,8775.7,8947.7,9057.2,9306.8,9424.8,9586.3,9690.8,9766.8,9886.5,10298,10446,10577,10696,10805,10960,11146,11328,11448,11560,11636,11760,11920,12039,12155,12257,12347,12454,12532,12657,13179,13338,13449,13604,13710,13787,13907,14063,14188,14301,14404,14493,14603,14681,14806,15100,15252,15355,16047,16165,16317,16454,16858,16967,17122,17236,17404,17589,17759,17883,17997,18100,18189,18299,18378,18500,19260,19387,19644,19775,19974,20085,20253,20360,20438,20561,20799,20942,21057,21161,21249,21358,21436,21559
1356.3,2023.6,2257,2491.9,2671.9,2853.6,3025.8,3666.8,3805.1,3979.2,4113.9,4260.8,4410.7,4516.6,4593.2,4727,4910.6,5032.3,5138.2,5232.2,5319.2,5449.2,5522.1,5667,6043.9,6214.3,6364.3,6556.7,6690.3,6892.1,7009,7112.4,7210.6,7503.9,7660.1,7865.5,8015.5,8160.3,8271.6,8342.2,8486.3,8828,8989.9,9137.7,9352.8,9497.4,9647.2,9753.9,9825.9,9968.3,10355,10491,10620,10741,10870,11092,11228,11401,11520,11626,11698,11840,11995,12116,12220,12313,12402,12518,12589,12737,13229,13382,13524,13667,13774,13841,13989,14140,14261,14365,14461,14550,14665,14739,14886,15156,15297,15432,16084,16229,16362,16507,16903,17034,17166,17302,17533,17672,17834,17958,18063,18156,18245,18364,18436,18581,19299,19442,19690,19838,20020,20161,20313,20423,20493,20642,20875,21015,21123,21219,21305,21423,21494,21637
