l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f
1989.6,2198.2,2422.3,2616.4,2822.9,3047.2,3211.2,3456.5,3644.5,3885.1,4069.6,4259.1,4367.3,4523.1,4623.6,4697.8,4811.6,5010.9,5128.2,5234.1,5333,5416.2,5519.5,5592.2,5707.7,5907.5,6027.7,6138.5,6236.3,6322.1,6425.9,6500.6,6616.5,6857,7007.9,7107.4,7267.9,7457.8,7639.1,7758.8,7863.9,7966.4,8051.6,8156.2,8231.8,8349.6,8549.6,8674.9,8783.2,8883,8972.8,9076.8,9152.8,9272.8,9605.8,9885.3,9991.6,10152,10339,10527,10649,10760,10858,10944,11049,11124,11241,11745,11914,12016,12182,12285,12356,12478,12689,12807,12916,13016,13102,13208,13285,13402,14167,14293,14473,14576,14763,14862,15012,15201,15385,15506,15619,15718,15804,15909,15985,16106,16406,16584,16694,16859
2026.3,2237.9,2471.1,2654,2877.7,3083.5,3268.6,3494.3,3697.4,3926.8,4119.4,4299.2,4434.1,4579.3,4682.2,4756.9,4888.5,5083.4,5198.2,5299.5,5387.5,5476.2,5581.7,5649.9,5785.9,5976.5,6102.5,6200.8,6291.8,6379.8,6489,6557.5,6694.6,6912.1,7051.8,7173.3,7403.6,7538.4,7710.7,7832.3,7932.9,8024.2,8113.6,8222.2,8288.4,8430.1,8626.8,8745.4,8848.5,8941.8,9030.3,9141.7,9211.9,9349.8,9658.7,9925.9,10065,10287,10416,10599,10723,10824,10917,11000,11112,11183,11321,11800,11956,12094,12245,12350,12418,12559,12759,12880,12981,13075,13164,13273,13345,13481,14204,14347,14517,14648,14808,14935,15149,15277,15461,15579,15683,15776,15860,15973,16044,16183,16456,16627,16770,16914
