l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r
1979.1,2127.4,2263.2,2468.9,2603.2,2737.1,2845.2,2996.3,3096.2,3172.7,3285.4,3467.7,3579.6,3687.3,3789.3,3874.2,3978,4053.6,4171.6,4445.5,4603.2,4738,4867.6,5039.3,5173.7,5295.7,5408.3,5511.6,5594.4,5699.3,5774.4,5892.7,6242.1,6400.1,6502.3,6668.3,6836.7,7015.3,7136.6,7244,7319.4,7438,7635.2,7751.6,7860.7,7960.2,8045,8149.9,8226.1,8343.3,8774.5,8882.2,9045.2,9148.2,9374.6,9499.1,9644.6,9812.5,9991,10108,10215,10292,10408
2011.2,2162.2,2322.7,2510.9,2638.8,2776.9,2906.6,3054.3,3160.5,3229.7,3364.2,3536.2,3652.8,3753.9,3846.7,3933.3,4041.8,4111.6,4248.5,4492.7,4647.3,4787.8,4991.3,5120.7,5247.9,5368.8,5472.1,5564.4,5653.2,5762.7,5831.6,5969.8,6295.7,6441.8,6573.1,6779.9,6923.9,7091.4,7209.8,7313.5,7380,7518.4,7708.9,7825.4,7925.2,8020,8105.6,8216.2,8280.5,8422.3,8814.5,8947.4,9086.2,9220.7,9414.7,9542.1,9759.8,9891.1,10065,10181,10281,10349,10490
