l,l,i,l,i,l,i,l,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1973,2233.9,2397.4,2582.1,2725.4,2889.7,3008.5,3222.3,3351.1,3467.5,3617.7,3717.5,3793.4,3906.7,4075.7,4197.9,4305.8,4387.5,4498.9,4668.9,4790.4,4902.4,5004,5089.2,5195.2,5271.3,5389.7,5642.8,5804.5,5913.1,6071.3,6258.9,6425.8,6548.5,6655.9,6758.7,6846.9,6950.2,7026.4,7142.6,7457.7,7620.5,7727.5,7891.4,7997.7,8151,8336.2,8495.3,8613.4,8722.6,8798,8916.3,9077.8,9201.4,9311.1,9411.6,9497.9,9605.6,9681.9,9798.8
2007,2275.8,2445.5,2621.7,2780.3,2930.3,3076.3,3261.9,3395.2,3528.3,3670.5,3782.1,3851.7,3984.9,4149.2,4270.2,4370.1,4442.3,4579.4,4743.6,4866.7,4968,5058.1,5144.7,5258.6,5328.5,5469.1,5698.8,5849.2,5989.1,6207.4,6338.2,6499.3,6619.7,6723.7,6814.3,6901.8,7010.5,7087.2,7221,7515.5,7663.9,7793.8,7935.3,8064,8282.8,8414.3,8568.6,8685.7,8785.2,8854.9,8995.4,9155.8,9275.5,9377.4,9470.6,9552.4,9671.6,9738.7,9876.5
