l,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1578.9,1774.1,1979.2,2135.3,2338.4,2439.3,2515,2631.8,2893.1,3098.4,3227.5,3375.2,3474.8,3548.8,3666.7,3862.1,3985.5,4093.9,4195.4,4280.3,4386.6,4460.6,4580,4904.8,5076.6,5181.1,5341.2,5530.8,5717.7,5844.2,5952.3,6034.9,6150.2,6420.4,6583.1,6687.4,6845.4,6946.6,7023,7140.8,7297.9,7417,7530,7631.2,7717.7,7822.3,7896.7,8017.1,8325.3,8489.8,8594.4,8764.4,8865.8,8940.8,9062.2,9257.1,9385.3,9494.1,9594.5,9683.5,9789.8,9865.6,9988.7
1611,1814.8,2022.3,2180.4,2386.8,2494.9,2570.2,2704.9,2942.7,3138.7,3284.3,3428.6,3531.3,3603.8,3741.2,3931.9,4055,4158.2,4251.2,4336,4449.2,4520.4,4658.9,4958.5,5119.9,5249.4,5478.9,5607.8,5790.5,5914.2,6017,6087.6,6226.2,6470.2,6626,6761.1,6905.3,7010.4,7082.2,7222.1,7372.9,7489.9,7594.8,7687.2,7776.2,7885.5,7952.9,8095.4,8375.4,8531.3,8660.4,8821,8927.1,8993.9,9140.4,9332,9457.6,9555.1,9652.3,9741.2,9854.3,9923.3,10065
