i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1129.4,1323.5,1452.4,1643.1,1805.8,1985.1,2106.3,2326,2463.8,2670.7,2772,2929.3,3030.3,3103.8,3215.6,3415.7,3529.4,3637.1,3735.2,3819.4,3923.1,3996.3,4117.2,4699,4878.9,4987,5148.9,5335.2,5518.1,5633.7,5742.7,5841.6,5925.2,6030.3,6104.5,6223.6
1176.2,1359.7,1499.4,1682,1851.6,2026,2170.5,2367.3,2522.4,2710.3,2843.6,2986.9,3090.9,3160.2,3294.8,3486.1,3603.2,3700.5,3792.9,3879.5,3986.6,4056.1,4193.9,4743.9,4921.3,5057.3,5280.7,5412,5588.7,5707.1,5806.5,5898.8,5985.1,6094.8,6161.8,6302.7
