i,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1781.3,1990.7,2119.3,2234.2,2375.5,2596,2747.6,2990,3175.9,3365.6,3570.8,3733.6,3887.3,4126.3,4252.6,4494.6,4617.1,4778.9,4877.5,4952.9,5069.3,5257,5376,5483.3,5584.7,5670.4,5774.2,5851.1,5972.1,6573.6,6710.4,6871.1,6979.3,7161.9,7303.9,7429,7612.2,7788.6,7909.1,8016.4,8092.9,8210.1,8385.5,8506.8,8616.6,8718.3,8804,8910.1,8986.3,9108.3
1815.4,2028.1,2160.7,2273.6,2427.4,2634.8,2800.2,3027.8,3229.4,3404.4,3623.7,3772.4,3944.2,4166.5,4314.7,4534.5,4683.2,4833.2,4935.5,5008.7,5147.9,5327.4,5445.9,5549.8,5639.8,5730.4,5835.8,5910.8,6048.2,6613.6,6767,6914.5,7049.6,7201.5,7337,7557.6,7689.6,7860.9,7982.5,8081.1,8148,8287.1,8456.9,8576.9,8681.7,8774.4,8859.3,8973.9,9044.6,9187.2
