i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i
1089.9,1287.9,1403.8,1589.8,1782.5,1972.2,2086.5,2249.8,2344.2,2415.8,2530.7,2687.4,2807.9,2912.3,3012.1,3096.6,3197.6,3270.8,3385.8,3549.8,3675.8,3781.7,3879.4,3963.5,4068.4,4142.7,4258.5,4742.8,4931.7,5036.3,5207.3,5386.8,5584.9,5704.8,5812.8,5913.2,5997.5,6101.8,6176.1,6293.9,6516.3,6634.9,6745.2,6844.7,6930.4,7035.3,7109,7229.7,7956.8
1145.1,1329.7,1469.1,1636.2,1835.7,2013.7,2150.1,2296.6,2404.2,2475.2,2606.9,2758.5,2875.3,2977.2,3068.8,3153.2,3259.2,3327.8,3457.8,3621.3,3744.2,3844.8,3935.1,4016,4124.7,4198.7,4331.4,4791,4972.4,5105.2,5333.7,5465.6,5655.8,5776.7,5878.3,5969.8,6056,6168,6234.1,6374.7,6586.7,6706.5,6810.4,6902,6985.8,7098.2,7166.2,7304.2,8003.3
