l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w
1993,2162.8,2341.6,2480.5,2667.7,2788.1,2983.1,3126.3,3351.2,3494.6,3701.6,3820.5,3976.3,4152.8,4315.7,4427.7,4532.3,4605.1,4721,4898.6,5016.8,5124,5222,5306.6,5409.9,5484.1,5600.7,5800.2,5921.3,6029.2,6132,6213.8,6318,6392.6,6512.5,6942.8,7088.4,7189.5,7342.2,7443.6,7517.5,7632.1,7808.4,7927.8,8034.6,8133.7,8219.5,8321.8,8396.9,8515.7,8772.2,8934.4,9037.9,9200,9300.5,9376.4,9495.3,10011,10129,10294,10395,10579,10678,10753,10871,11037,11155,11264,11364,11449,11555,11630,11750,12129,12288,12390,12560
2027.4,2211.5,2377.4,2526.9,2703.3,2849.4,3021.9,3186.2,3391.5,3545.9,3739.7,3885.6,4105.3,4225.7,4387.4,4495.9,4591.9,4660.3,4797.4,4972.8,5092.6,5184.7,5276.3,5364.6,5470.3,5544.4,5675.8,5873.4,5995.9,6091.9,6181.9,6269.1,6377,6451.7,6586.1,6995.7,7132.1,7251.2,7400.4,7505.3,7576.6,7707.4,7885.5,7999.7,8096.2,8189.3,8275.6,8387.9,8453.6,8591.9,8825.8,8976,9113.8,9258,9362.9,9432.3,9570.8,10048,10194,10337,10468,10636,10742,10812,10950,11110,11228,11327,11419,11509,11616,11688,11830,12174,12329,12461,12670
