l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,l,i,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r
1821.5,1994.7,2251.8,2424.2,2542.2,2732.4,2855.4,3056.2,3169.2,3342.5,3443.9,3520.5,3638.2,3774.2,3901.1,4011.9,4114,4201.6,4307.3,4383.3,4497.2,4694.5,4800.4,4950.6,5126.1,5321.1,5440,5549.7,5650.5,5736.7,5840.2,5918.5,6036.3,6311.2,6462.2,6566.6,6730.8,6913.5,7084.5,7208.9,7319.2,7422.1,7507.2,7610.8,7688.5,7809.3,8096.8,8243.4,8348.5,8512.3,8619.3,8795.4,8979.9,9132,9251.2,9362.9,9463.9,9550,9654.3,9732.2,9852.4,10299,10408,10610,10720,10896,10999,11076,11194,11420,11529,11800,11955,12132,12242,12666,12790,12898,13066,13244,13437,13556,13668,13770,13855,13962,14039,14159
1866.3,2036.2,2305.2,2466.2,2606.4,2779.3,2920.8,3100.7,3243.2,3400.6,3510.7,3582.4,3717,3847.3,3970.2,4076.6,4176.6,4256.5,4370.7,4437.8,4575.2,4737.5,4864.9,5073.4,5204.1,5392.2,5509.5,5609.8,5707.2,5790.8,5904.3,5975.8,6113.9,6358.2,6506.4,6639.7,6860.2,6991,7158.1,7281.2,7383.4,7476.5,7560.9,7673.8,7743,7888.1,8154.3,8284.4,8421.3,8549.2,8686,8924.8,9059.5,9206,9322.4,9427.5,9521.2,9605.9,9718.8,9785.5,9930.8,10337,10475,10656,10792,10955,11063,11134,11274,11458,11597,11844,12006,12176,12310,12699,12836,12979,13190,13323,13509,13629,13733,13828,13917,14026,14098,14237
