l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r
2079.9,2284.9,2483.1,2602.3,2810,2965.1,3147.2,3277.8,3454.3,3565.1,3732.1,3831.9,3904.2,4018.6,4209.9,4328.7,4437.1,4512.4,4628.4,4796.6,4913.2,5019.5,5116.7,5200.8,5303.7,5378.3,5493.7,6016.3,6121.8,6336.9,6442.3,6590.8,6772.1,6985.9,7102.2,7208.4,7307.2,7390.7,7494.2,7568.1,7690.4,8147.6,8310.4,8412.3,8637.8,8745.8,8891.1,9075.4,9237.9,9355,9461.2,9537.2,9653.3,9850.8,9969.3,10079,10154,10269,11064,11187,11373,11518,11722,11831,12060,12162,12320,12494,12659,12773,12878,12958,13069,13223,13345,13453,13554,13640,13744,13820,13935,14141,14268,14428,14529,14605,14721
2113,2330.3,2523.6,2662.9,2850.8,3022.6,3183.9,3331.9,3495.7,3626.5,3789.6,3893.2,3963.8,4095.2,4278.7,4396.5,4494.3,4566.5,4707.5,4867.9,4983.7,5082.5,5172.8,5258.2,5361.9,5434.9,5572.2,6049.4,6191.5,6381.4,6510.1,6723.9,6852.5,7055.4,7171,7273.2,7362.6,7449.5,7554.4,7629.6,7766.9,8205.8,8352,8482.8,8680.3,8814.9,9024.9,9155.4,9309.9,9425.6,9524.3,9594.8,9734.4,9923.8,10043,10144,10213,10347,11100,11243,11415,11573,11764,11899,12100,12234,12441,12570,12730,12843,12944,13008,13152,13296,13416,13520,13611,13698,13808,13878,14010,14185,14337,14485,14595,14662,14802
