i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1045.3,1253.5,1406,1614.4,1805,1992.5,2128.8,2327.9,2462.5,2675.7,2790.8,2942.2,3124.1,3309.1,3428.9,3534.8,3611,3726.7,3918.3,4038.8,4143.6,4243.4,4328.6,4432.5,4508.5,4625.7,4949.4,5127,5234.6,5383.4,5572.2,5757.4,5880.9,5988,6087.5,6173.2,6277.9,6353.4,6473.4,6792.3,6948.7,7049.4,7216.2,7317.6,7392.1,7510.2,7704.2,7824.5,7935.5,8036,8120.8,8228.5,8304.7,8423.3,8885.8,9044.3,9151.7,9303.2,9494.5,9665.8,9787.3,9896.8,9975.8,10093,10280,10407,10521,10621,10709,10814,10891,11011
1090.4,1290.1,1448.8,1651.1,1849.5,2031.9,2188.5,2366.9,2518.6,2715.6,2851.7,3073.3,3200.8,3381.2,3496.1,3594.4,3665.8,3805.2,3989.2,4107.3,4208.7,4298.3,4390.1,4492.1,4566.7,4705.8,5003.3,5173.4,5310.5,5522.2,5652,5829.2,5951.2,6052.1,6144.6,6233,6340.8,6408.9,6554.2,6846.7,6993.4,7122.7,7273.1,7381,7449.9,7588.9,7777.7,7896.8,7998.5,8093,8176.4,8293.9,8363.5,8503.9,8934,9087.3,9227.2,9441.2,9575.2,9736.9,9857.5,9961.5,10034,10175,10356,10481,10586,10680,10769,10877,10953,11091
