l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1974.4,2227.3,2454.9,2638.7,2863.6,3091,3284.9,3418.1,3614.1,3734.5,3950.9,4097.9,4268.4,4386.3,4595.7,4718.6,4888.5,4990.9,5066.4,5184.5,5363.4,5485.8,5597,5698.4,5784.3,5888.6,5964.9,6084.2,6373.1,6530.8,6638.6,6787.5,6964.6,7149.3,7267.6,7378.1,7481.2,7567.5,7672.9,7749,7871.4,8130.4,8515.9,8628.1,8831.8,8938.8,9104.2,9286.9,9459.9,9581.1,9688.2,9765.1,9882.8,10143,10298,10407,10643,10757,10902,11087,11253,11373,11485,11586,11673,11779,11857,11977,12624,12741,12914,13030,13188,13291,13370,13488,13627,13751,13863,13965,14053,14158,14235,14355,14727,14893,15000,15281,15389,15551,15749,15905,16023,16135,16237,16322,16429,16505,16629,16841,16969,17083,17186,17274,17384,17460,17583
2011.4,2270.2,2491.3,2683.9,2900.1,3136.3,3324.2,3476.2,3654.7,3795,3990.5,4154.6,4313.2,4444.3,4639,4781.1,4939.4,5050,5122.1,5260.5,5436.8,5555.6,5660.4,5753.3,5844.1,5953.1,6023.2,6163.5,6422.1,6573.1,6706.3,6911,7041.5,7222,7340,7443.5,7538.8,7621.1,7737.8,7805.9,7950,8200.1,8555,8695.8,8871.8,9006.3,9231.2,9366.3,9534.2,9651.5,9754.2,9821.2,9960.7,10194,10342,10482,10685,10819,11032,11164,11327,11447,11550,11644,11733,11846,11914,12058,12664,12798,12957,13096,13241,13355,13425,13570,13702,13824,13928,14024,14109,14223,14295,14434,14775,14938,15070,15324,15458,15691,15830,15980,16095,16199,16293,16378,16493,16567,16708,16916,17042,17147,17245,17331,17447,17520,17664
