l,l,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1971.2,2209.6,2453.4,2675.4,2854.2,3006.7,3223.3,3378.4,3556.1,3948.7,4135.2,4388.2,4510.1,4696.7,4839.1,5056.1,5186,5401.4,5510.4,5669.4,5765.3,5839,5954.8,6123.7,6239.9,6350.9,6449.7,6533.5,6637.1,6712.2,6829,7038.6,7160.8,7270.5,7355.1,7468.2,8004.1,8173.4,8298.1,8454.2,8558.7,8634.1,8751.4,8940.8,9060.7,9172.3,9272.3,9355.7,9459.4,9534.8,9654.4,9935.8,10106,10206,10355,10548,10723,10843,10953,11056,11142,11249,11323,11441,11858,12045,12155,12362,12469,12628,12821,13024,13149,13256,13335,13448
2007.7,2249.3,2491.2,2710.3,2888.7,3052.6,3260.9,3429.6,3597.6,3996.5,4175.4,4426.8,4570.3,4738.2,4894.1,5095.5,5248.6,5442.3,5588.7,5716.8,5829.3,5898.1,6029.3,6191,6314.4,6412.3,6502.6,6587.8,6695.5,6766.8,6906.3,7108.8,7237.8,7334.6,7411,7540.5,8058.7,8215.1,8366.2,8508.8,8615.6,8689.7,8831.5,9013.5,9131.5,9233.6,9326.1,9415.6,9523.6,9592.6,9733.1,9983.7,10149,10279,10493,10621,10799,10919,11018,11108,11200,11308,11385,11518,11906,12088,12228,12405,12539,12766,12896,13096,13222,13321,13394,13526
