i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1174.9,1444,1591,1822.2,1966,2161.9,2272.4,2413.6,2595.6,2813.2,2928.6,3034.8,3134.2,3217.5,3323,3394.8,3515.2,3885.1,4050.4,4153.8,4316,4414.8,4488.6,4604.4,4795.2,4915.2,5024.2,5121.4,5205.7,5312.9,5386.8,5504
1228.8,1483.4,1646,1859.5,2019.2,2200.9,2349.4,2545.8,2673.5,2884,2998.1,3099.8,3189.5,3275.6,3384.7,3456,3592.2,3937.3,4092.7,4221.5,4372.1,4476.1,4547.2,4686,4867,4986.3,5086,5178.4,5264.9,5375.8,5444.6,5584
