l,l,i,l,i,l,l,i,l,l,f,a,b,r,n,i,l,l,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,b,r,i,l,l,w,r,n,n,a,d,f,a,b,r,l,f,a,b,r,i,l,l,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,i,l,i,l,i,l,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
2269.7,2669.8,2811.2,3037.5,3150,3363.1,3507.3,3633.7,3830.7,4168.1,4431.6,4529.1,4606.3,4726.8,4912.3,5197.4,5377.8,5697.6,5988.6,6151.6,6333.1,6454.5,6563.2,6661.6,6749.9,6851.7,6932,7052.2,7601.7,7716.2,7880.2,8016.8,8158.3,8328.6,8506.9,8624.1,8734,8832.7,8921.4,9025.7,9102.4,9219,9521.1,9682.6,9977.7,10128,10303,10418,10528,10602,10720,10981,11140,11394,11667,11837,11998,12113,12223,12327,12414,12517,12595,12712,12928,13204,13303,13378,13496,13827,14004,14315,14593,14759,14945,15063,15173,15273,15362,15464,15543,15662,15894,15999,16163,16262,16339,16461,16761,16923,17029,17258,17360,17512,17787,17978,18154,18279,18390,18489,18578,18682,18760,18879,19204,19421,19529,19782,19923,20062,20258,20438,20557,20667,20769,20858,20965,21044,21167
2299.9,2703.6,2854.6,3073.5,3201.6,3395.7,3545.1,3684.8,3869.7,4203.7,4473.3,4583.9,4654.1,4795.4,4971.2,5244.5,5414.3,5733,6084.7,6220.5,6401.3,6521.9,6619.5,6715,6797.4,6908.9,6978.9,7118.9,7633.1,7772.4,7916.6,8051.3,8266.7,8398.1,8576.4,8692.9,8791.3,8890,8973.2,9080.5,9153.6,9286.7,9566.3,9721.1,10068,10199,10369,10490,10582,10655,10788,11028,11180,11427,11774,11907,12071,12183,12283,12382,12464,12575,12648,12783,12967,13257,13358,13433,13573,13878,14038,14352,14702,14833,15009,15133,15232,15330,15412,15520,15591,15733,15930,16067,16211,16319,16395,16535,16810,16962,17090,17295,17427,17552,17921,18051,18227,18348,18449,18546,18630,18740,18819,18953,19250,19458,19597,19823,19961,20197,20330,20507,20626,20728,20827,20912,21022,21098,21237
