l,l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l
1994.8,2721,3407.8,3552.5,3766.3,3905.7,4092.1,4217.1,4433.5,4546.3,4732.2,4849.9,5006.8,5109.2,5183.4,5298.4,5480,5603.7,5712.9,5813.2,5899.5,6005,6080.4,6197.8,6467.3,6637.8,6743.3,6902.5,7004.9,7078.8,7196.1,7390.9,7520.5,7628.1,7731.6,7817.1,7923.2,7997.8,8116.5,8405.8,8565.3,8697.1,8832,9019,9208.2,9338.8,9449.6,9551.8,9634.7,9741.9,9816.2,9932.3,10191,10384,10488,10720,10825,10996,11099,11175,11291,11471,11592,11703,11805,11892,11998,12076,12193,12609
2028,2754.8,3440.6,3592.3,3801.5,3953,4133.7,4276.3,4475.4,4610.1,4777.1,4914.9,5057.1,5169.4,5236.7,5376.8,5554.8,5672.2,5776,5870.2,5952.9,6067.7,6138.3,6272.6,6524,6681.7,6814.1,6961.2,7067,7139.9,7276.7,7461.5,7589.8,7694.1,7787.8,7874.7,7986.1,8055.3,8191.7,8460.5,8609,8740.8,8964.5,9096.5,9280.9,9408.8,9514.1,9605.3,9695.6,9803.4,9874.5,10010,10246,10428,10559,10763,10894,11055,11162,11232,11370,11543,11665,11770,11863,11948,12061,12134,12272,12639
