l,l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1724.2,1986.7,2136.8,2274.2,2664.2,2801.2,2973.4,3143.5,3348.4,3506,3697.6,3815.8,3967.7,4064.1,4143.4,4256.4,4472.6,4612.3,4721.2,4820.8,4904.7,5011.4,5086.1,5201.8,5398.9,5517.1,5624.9,5697.7,5819.2
1755.1,2026.6,2172.2,2312.4,2699,2848.9,3013.6,3194.1,3382,3557.4,3734.5,3885.6,4023.2,4122.4,4198,4325.4,4540.2,4681.9,4781.7,4873.4,4958.4,5070.9,5145.7,5276.7,5466.8,5589.8,5685.2,5753.4,5894.7
