l,i,l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b
1992.6,2180.9,2375.2,2571.4,2781.5,2897.9,3039,3281.3,3392.1,3619.8,3740.3,3886.9,3985.7,4061.2,4172.5,4348.1,4457.8,4564.2,4640.3,4753.5,4992.6,5109.2,5218.6,5316.9,5402.8,5507.2,5582.3,5699.8,5989.8,6147.8,6284.4,6401.6,6581.3,6765.9,6881.8,6987.5,7061,7177.5,7387.5,7510.2,7617.3,7718.6,7802.1,7904,7977.8,8096.8,8341.4,8443.7,8611.8,8791.9,8998.3,9112.2,9222.7,9295.9,9413,9724.9,9887.2,9987.2,10140,10326,10495,10613,10722,10822,10908,11013,11090,11207,11412,11537,11645,11746,11831,11935,12012,12130,12549,12733,12839,13161,13310,13496,13610,13749,13923,14023,14226,14331,14479,14661,14834,14950,15061,15140,15253,15426,15543,15652,15755,15838,15943,16021
2029.1,2225.5,2409.5,2620.6,2819.8,2936.8,3087.2,3316.5,3449,3657.1,3802,3942.4,4044.8,4118.8,4245,4417.3,4527.8,4628.7,4695.6,4831.1,5062.3,5178.7,5280.3,5371.1,5460.2,5565.5,5638.8,5775.5,6034.8,6189.2,6316.6,6528.7,6657.5,6836,6952.2,7047.7,7122.9,7256.1,7457.8,7580.9,7681.4,7774.1,7856.4,7967.5,8040.7,8174.1,8379.9,8516.1,8737,8872.3,9069.9,9183.9,9282.8,9352.8,9491.8,9780.3,9932.2,10058,10269,10398,10568,10686,10785,10880,10968,11080,11144,11286,11484,11609,11709,11803,11891,11999,12065,12205,12598,12774,12905,13197,13366,13537,13651,13809,13967,14098,14268,14408,14608,14739,14907,15024,15116,15185,15332,15501,15616,15716,15810,15898,16008,16077
