l,l,l,i,l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,i,l,i,f,a,b,r,l,i
1990.5,2269.9,2410,2593.2,2824.5,2970.3,3133.4,3305.2,3527.7,3664.7,3873.2,3990.7,4145.8,4245.9,4321.3,4437.2,4636.2,4765.3,4876.1,4976.9,5063.6,5169,5244.5,5363.8,5665.3,5840.9,5951.7,6229.4,6358.8,6506.2,6610,6686.1,6804.1,6984.7,7105.3,7218,7320.6,7406.9,7515.3,7590.2,7708.4,8017.2,8170.2,8276.4,8439.6,8540.7,8617.1,8741.4,8964.3,9083.4,9196.2,9296.9,9384.9,9489,9566.4,9686.8,9966.5,10138,10246,10535,10643,10833,10939,11100,11207,11284,11403,11606,11732,11842,11947,12034,12141,12218,12338,12629,12741,12993,13120,13279,13386,13460,13583,14013,14162,14269,14430,14537,14613,14732,14947,15057
2029.2,2310.8,2449.2,2646.8,2863.8,3013.3,3174.1,3356.8,3571,3727.2,3917.3,4060.6,4200.1,4306.1,4378.1,4518.5,4706,4836.1,4937.6,5033.3,5116.1,5229.1,5303.9,5441.7,5710.8,5885.5,6024.2,6266.6,6422,6564.1,6673.5,6747.7,6882.8,7056.8,7181.2,7283.5,7375.9,7468.6,7580.5,7650.3,7786.8,8069.5,8215.3,8346.5,8491.7,8602.3,8678,8818.9,9038.7,9158.6,9260.8,9354.1,9439.6,9554.1,9623.7,9766.2,10016,10184,10323,10578,10715,10878,11009,11160,11273,11342,11481,11684,11802,11908,12004,12091,12202,12278,12417,12669,12810,13032,13188,13339,13453,13521,13662,14068,14209,14342,14491,14601,14672,14813,14992,15128
