l,l,i,l,i,l,i,l,i,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1981.7,2154.4,2488.5,2672.6,2792.7,3086.9,3295.3,3528.3,3645.2,3956.9,4076.5,4185.3,4262.3,4378.8,4603,4737.4,4846.5,4948.3,5036.3,5141.3,5219.8,5339.1,5716.1,5886.9,6018.6,6199.1,6300.6,6379.7,6499.6,6782.8,6906.6,7018.5,7202.7,7383.3,7585.9,7709.3,7823,7900.6,8021.5,8268.5,8390.4,8503.4,8607,8693.8,8802.1,8879.8,9003.1,9900.9,10033,10185,10295,10448,10638,10844,10968,11084,11190,11277,11386,11467,11589,12021,12222,12334,12563,12668,13047,13190,13300,13468,13577,13656,13776,13998,14123,14239,14344,14432,14542,14622,14744
2018.7,2192.6,2533.7,2713.5,2854,3126.8,3351.2,3565.8,3707.4,4022.3,4146.8,4251.5,4317,4455.9,4672.2,4807.8,4914.2,5005.6,5097.7,5206.8,5280,5418.3,5769.2,5932.3,6066.3,6257,6362.7,6438,6579.2,6839.4,6947.2,7095.6,7330.5,7463.5,7660.5,7783.8,7885.7,7957.6,8101.9,8341.2,8464.3,8570.5,8665.6,8757.2,8871.5,8941.3,9084.5,9937.2,10089,10227,10362,10586,10720,10917,11043,11148,11247,11339,11455,11530,11672,12075,12266,12410,12604,12742,13100,13234,13373,13531,13645,13716,13858,14072,14200,14303,14402,14489,14608,14681,14825
