l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1141.3,1311.1,1521.7,1967.8,2146.3,2313.4,2433.3,2659.9,2768.3,2930,3033.2,3107.7,3220.7,3414.2,3535.7,3645.3,3745.8,3830.8,3936,4010.7,4130.6,4291.5,4415,4521.5,4618.9,4703.7,4809.6,4885.6,5006.5,5295.1,5452,5556.2,5701.7,5893.4,6091.8,6214.1,6324,6399.2,6519.9,6871.3,7019.4,7126.9,7293.4,7472.8,7648.8,7772.1,7881.5,7980.8,8066.2,8170.7,8245.9,8366.8,8570.3,8673,8827.1,8927.9,9004.2,9122.4,9407.1,9563.4,9666.3,9826.8,9930.9,10102,10269,10449,10569,10680,10760,10876,11062,11179,11289,11369,11487,11665,11789,11899,12000,12086,12191,12269,12395,13259,13378,13563,13669,13951,14061,14255,14360,14519,14703,14839,14955,15030,15149,15329,15450,15560,15662,15748,15855,15931,16050,16371,16539,16647,16903,17016,17171,17273,17349,17467,17622,17744,17854,17956,18044,18151,18230,18352
1177.2,1356.5,1554.7,2003.6,2193.5,2352,2485.1,2697.9,2829.6,2982.4,3089.5,3156.7,3295.6,3484.8,3605.2,3704.2,3799,3882.9,3991.5,4061.2,4202.2,4365.2,4485,4581.6,4674.7,4760.5,4869.6,4943.6,5082.7,5346.1,5498,5617.3,5841.5,5967.2,6164.6,6285.5,6387.2,6455,6594.5,6916.1,7063,7192.1,7419.4,7549.1,7719.8,7843.3,7942.8,8036.7,8120.3,8235,8304.4,8444.3,8612.7,8739.6,8876.6,8987.4,9060.4,9200.9,9459.5,9608.4,9737.4,9872.4,10004,10214,10345,10522,10641,10744,10813,10955,11136,11250,11354,11428,11568,11736,11863,11962,12057,12142,12258,12322,12472,13296,13431,13602,13732,13992,14131,14296,14437,14650,14781,14914,15016,15087,15227,15408,15524,15625,15718,15801,15917,15990,16128,16419,16579,16713,16947,17082,17229,17334,17408,17549,17694,17816,17920,18013,18100,18214,18285,18427
