l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1576.4,1810.9,1980.3,2120.2,2287.2,2404.6,2608.7,2732.8,2880.9,2990.7,3149.5,3250.4,3325.5,3440.6,3618.3,3731.2,3839.8,3940.6,4024.9,4131.5,4206.7,4323.8
1613.7,1848.8,2016.6,2165.2,2326.2,2465,2647.9,2789,2918.8,3054.2,3204.9,3307,3380.2,3514.5,3686.8,3802.9,3904.7,3996.4,4079.4,4190.3,4264,4399.4
