i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,l,i,l,i,w
1114.2,1334.4,1460.8,1695.5,1807.5,1968.4,2073.9,2148,2263.5,2407.3,2528.3,2637.8,2713.2,2830.2,3028,3177.5,3288.4,3388.6,3474.2,3581.5,3657,3775.8,3974.6,4095,4204.8,4307.2,4391.6,4499.5,4574.9,4693.2,4921.3,5023.7,5278.6,5384,5536.5,5718.6,5896.3,6016.1,6124.1,6198.9,6315,6507.3,6625.6,6739.8,6838.5,6924.2,7031.8,7107.8,7226.3,7391.4,7517.8,7625.2,7699.7,7817.9,8142.1,8290.5,8392.2,8550.8,8739.4,8898.4,9017.2,9129.3,9208.8,9325.2,9478.4,9599.6,9710.3,9811.7,9897.6,10006,10078,10200,10524,10727,10855,11173,11280,11480,11581,11734,11841,12059,12163,12389,12497,12656,12757,12834,12951,13096,13221,13331,13407,13523,13674,13792,13906,14005,14091,14198,14276,14395,14699,14843,14948,15256,15713,15825,16019,16126,16282
1166.9,1373.7,1521.7,1734.4,1869.3,2027,2133.3,2208,2340.1,2482.3,2598.9,2700.5,2766.6,2907.3,3104,3248.1,3352.5,3444.8,3528.2,3640.2,3711.6,3848.9,4045,4164.1,4265,4361.9,4447.2,4559.5,4627.3,4767.4,4961.2,5088.5,5319.9,5445.1,5667.7,5796.5,5967.9,6087.7,6187.7,6260.2,6393.7,6584.2,6701.6,6802.9,6894.9,6980.8,7095.6,7159.3,7306.3,7467.2,7588.5,7688.8,7757.6,7897.8,8196.6,8334.1,8461,8683.1,8816.8,8973,9092.5,9194.6,9265.4,9404.8,9552.9,9672.2,9775.8,9868.7,9958.4,10069,10140,10280,10572,10772,10925,11213,11343,11524,11656,11781,11914,12102,12228,12432,12565,12712,12820,12892,13028,13173,13293,13397,13463,13604,13751,13866,13969,14062,14151,14263,14331,14475,14747,14885,15019,15294,15750,15885,16058,16192,16417
