n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1318.7,1568.6,1982,2707.7,2855.8,3013.3,3170.4,3317.9,3460.9,NaN,3648,3791.6,4007.9,NaN,4088.2,4282.1,NaN,4477.6,4631.2,4852.8,NaN,4938.4,5138.7,NaN,5337.9,5514.2,5741.8,NaN,5826.1,6026.7,NaN,6221.2,6372.3,6600.9,NaN,6685.7,6888.7,NaN,7086.9,7239.1,7447.5,7607.5,7719.5,7911.4,NaN,8111.8,8274.5,8503.2,NaN,8588.9,8798.1,NaN,9001.8,9155.7,9383,9545.1,9659.6,9859.9,NaN,10062,10219,10388,NaN,10541,10758,10915,11068,11218,11338,NaN,11539,11698,11933,NaN,12018,12244,NaN,12440,12598,12766,NaN,12924,13136,NaN,13330,13494,13659,NaN,13857,14063,NaN,14265,14431,14646,14802,14931,15132,NaN,15335,15494,15655,NaN,15910,16078,16214,16389,16545,NaN,16741,16902,17076,NaN,17251,17475,17639,17764,17955,NaN,18161,18336
1353.4,1605.1,2028.3,2752.6,2914.8,3083.8,3243,3394.7,NaN,3598.5,3742.8,3876.5,NaN,4056,4159.4,NaN,4431.2,4575,4718.6,NaN,4904.4,5008.5,NaN,5290.8,5435.9,5599.8,NaN,5792.4,5898.5,NaN,6171.6,6325.8,6460.1,NaN,6651.2,6758.7,NaN,7039.6,7187.6,7328.3,7526.8,7679,7810.9,NaN,8061,8211.3,8359.2,NaN,8555.3,8669.8,NaN,8950.9,9105.9,9242.3,9462.8,9614.3,9750.7,NaN,10014,10167,10307,NaN,10502,10630,10834,10991,11145,11297,NaN,11492,11645,11787,NaN,11985,12094,NaN,12377,12548,12690,NaN,12883,13009,NaN,13272,13430,13578,NaN,13781,13946,NaN,14212,14369,14514,14730,14878,15025,NaN,15282,15443,15582,NaN,15776,15979,16152,16292,16469,NaN,16690,16843,16995,NaN,17196,17346,17545,17715,17857,NaN,18111,18262,18424
