n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1993.2,2142.6,2295,2450.3,2601.1,2745.7,NaN,2935.2,3073.8,3282.9,NaN,3367.6,3554.3,NaN,3749,3900.3,4123.5,NaN,4204.3,4410.5,NaN,4598.6,4749.8,4969.2,NaN,5049,5236.1,NaN,5433.8,5584.2,5765.7,NaN,5882.9,6079.4,NaN,6266.8,6419.6,6656.8,6800.8,6905.9,7116.6,NaN,7313.1,7466.2,7683.4,NaN,7769.8,7977.7,8131.9,8236.9,8422.2,NaN,8617.6,8768.8,8984.8,NaN,9065.4,9258.1,NaN,9456.7,9614.2,9824.2,9977.8,10079,10268,NaN,10463,10623,10805,NaN,10927,11143,11299,11441,11556,NaN,11754,11916,12131,NaN,12215,12413,NaN,12611,12784
2042.5,2202.9,2367.7,2524.4,2674,NaN,2884.5,3016,3159.6,NaN,3332.6,3433.8,NaN,3700.8,3842.4,3980.2,NaN,4174.1,4274.4,NaN,4549.3,4685.8,4832.7,NaN,5018.8,5124.1,NaN,5382.1,5516.8,5667.8,NaN,5847,5972.1,NaN,6216,6356.8,6499.6,6730,6871.3,6978.3,NaN,7266.9,7400.1,7541.3,NaN,7730,7859.7,8053.2,8202.3,8309.8,NaN,8570.2,8714,8850.7,NaN,9034.5,9136.7,NaN,9409.1,9548.6,9695.2,9899.2,10046,10149,NaN,10417,10552,10706,NaN,10891,11019,11208,11373,11516,NaN,11703,11849,11997,NaN,12184,12291,NaN,12565,12705,12863
