n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,f,a,b,l,e
1986.7,2137,2309.6,2463.2,2591.6,2750.7,2893.6,3051.4,3202.8,3313,NaN,3496.1,3642.5,3856.3,NaN,3935.8,4120.6,NaN,4314.3,4464.9,4682,NaN,4763.9,4959.4,NaN,5154.6,5300.5,5481,5634.9,5740.4,5926.1,NaN,6117.3,6266.9,6481.8,NaN,6562.6,6769.4,6916.8,7064.9,7190.5,NaN,7374.6,7523,7726.3,7879.7,7982.4,8180.3,NaN,8373.8,8526.4,8740.4,NaN,8822.2,9034.3,9186.2,9299.9,9480.1,NaN,9676.8,9824.5,10046,NaN,10128,10335,NaN,10521,10676,10892,11044,11161,11370,11538,11649,11848,NaN,12045,12203,12506,12654,12767,12961,NaN,13162,13314,13518,NaN,13616,13819,14000,14115,14334,14517,14678,14789,14985,NaN,15183,15332
2021.9,2191.7,2367.3,2526.8,2654.9,2810.2,2961.5,3129.4,3272.4,NaN,3438.5,3584.3,3729.2,NaN,3905.1,4004.5,NaN,4267.5,4410.2,4547.9,NaN,4733.5,4835.8,NaN,5106.7,5253.8,5383.8,5560.1,5707.9,5809.9,NaN,6071.7,6212.3,6352.2,NaN,6532.5,6639.2,6841.4,6994.4,7139.2,NaN,7326.3,7467.7,7606.2,7805.4,7950,8060.3,NaN,8329.9,8476.5,8610.7,NaN,8791.9,8897.8,9105,9261,9389.4,NaN,9631,9781.2,9911.6,NaN,10097,10207,NaN,10474,10625,10759,10969,11122,11252,11447,11613,11741,NaN,12000,12150,12290,12582,12726,12867,NaN,13115,13266,13399,NaN,13582,13690,13895,14075,14210,14405,14595,14758,14878,NaN,15137,15288,15417
