n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2553.2,2685.8,2828.1,2964.1,3098.3,3236.5,3345.2,NaN,3521.2,3656.9,3861.7,NaN,3939.3,4121.6,NaN,4304.9,4444.2,4656,NaN,4731.2,4919.6,NaN,5104.3,5245.8,5455,NaN,5534,5725,NaN,5905.9,6049.9,6212.8,6356.1,6456.2,6636.1,NaN,6822.8,6970.7,7157.7,NaN,7259.7,7447.9,NaN,7638.5,7784,8007.4,NaN,8087.8,8270.8,NaN,8461.8,8612,8803.8,8949.5,9057.2,9240.7,NaN,9427.9,9573.8,9790.8,NaN,9872.5,10063,10208,10346,10469,NaN,10660,10809,11029,NaN,11107,11298,NaN,11487,11641,11863,NaN,11947,12143,NaN,12335,12482,12943,13081,13220,13360,NaN,13553,13698,13919,NaN,14001,14196,NaN,14388,14563
2599.8,2747.6,2902.9,3034.9,3174.5,3304.3,NaN,3467.9,3620.1,3738.8,NaN,3909.3,4009,NaN,4265.4,4407.4,4531.4,NaN,4705.8,4799.6,NaN,5060.1,5203.4,5326.2,NaN,5499.4,5602.6,NaN,5860.3,6008.2,6136.4,6287.4,6426.1,6530,NaN,6777.3,6927.4,7055.2,NaN,7231.9,7325.4,NaN,7588.8,7740.2,7866.7,NaN,8055.7,8157.8,NaN,8417.8,8562.9,8699.1,8882.3,9022,9134.6,NaN,9385.8,9533.4,9660.8,NaN,9841.9,9939.7,10138,10281,10421,NaN,10616,10762,10899,NaN,11078,11188,NaN,11445,11587,11727,NaN,11915,12026,NaN,12290,12437,12568,13007,13158,13293,NaN,13509,13655,13786,NaN,13969,14072,NaN,14344,14492,14652
