n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1990.3,2135.5,2272.7,2408.7,2540.8,2636.8,NaN,2822.1,2960.3,3162.2,NaN,3238.3,3417.9,NaN,3605.4,3745.3,3953.6,NaN,4030.2,4206.8,NaN,4394.8,4538.5,4736.5,NaN,4836.4,5022.5,NaN,5210.3,5356.2,5571.8,NaN,5652.8,5844.6,5987.9,6098.4,6287,NaN,6477.1,6626.7,6843.8,NaN,6927.1,7111.5,NaN,7302.3,7450.9,7672.5,NaN,7760.4,7946.3,NaN,8140.2,8287.5,8486.5,8634.8,8735.1,8927.2,NaN,9119.9,9274.5,9617.2,9758.8,9870.1,10055,NaN,10252,10404,10624,NaN,10710,10904,NaN,11100,11263
2041.3,2199,2345.9,2485.3,2611,NaN,2771.4,2922.5,3044.1,NaN,3209.2,3315.9,NaN,3561.2,3706.1,3828.9,NaN,4003.4,4107.9,NaN,4352.2,4494.2,4621,NaN,4807.3,4917.7,NaN,5168,5314.2,5443.8,NaN,5620.8,5735.8,5920,6059.5,6200.3,NaN,6435.5,6583.9,6709.7,NaN,6895.5,7005,NaN,7260.2,7405.3,7532.7,NaN,7720.8,7840.3,NaN,8095.1,8243.4,8373.4,8567.7,8707.4,8819.3,NaN,9075.3,9223.5,9360.2,9690,9828.3,9962.8,NaN,10202,10359,10486,NaN,10675,10790,NaN,11053,11203,11327
