n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1827.4,1976.1,2114,2277.9,2460.9,2608,2762.5,2892.3,NaN,3075.8,3225.3,3440.9,NaN,3524.8,3716.3,NaN,3909,4058.6,4273.2,NaN,4357,4548.2,NaN,4742.9,4893.3,5054.8,NaN,5196.4,5387.4,NaN,5581.3,5735,5917.3,6068.7,6174.5,6359.2,NaN,6553.3,6707.1,6931,NaN,7014.4,7207.9,NaN,7404.1,7553.9,7782.6,NaN,7862.7,8051.6,8202.8,8323.7,8498.3,NaN,8697.3,8852.4,9059.8,9218.6,9325.5,9516.8,NaN,9715.8,9871.3
1860.6,2017.1,2171.4,2343.4,2536.9,2682.4,2837.8,NaN,3025.2,3171.7,3310.1,NaN,3488.8,3593.1,NaN,3862.8,4009.1,4142,NaN,4326.1,4433.4,NaN,4697.4,4838.6,4981.3,NaN,5160.4,5286.8,NaN,5528.5,5683,5818.8,5996.9,6145,6248.3,NaN,6506.2,6654.1,6792.1,NaN,6983.8,7088.7,NaN,7354.5,7504.9,7639,NaN,7835.1,7941,8126.5,8279.3,8415.7,NaN,8651.2,8799.4,8938.3,9139.8,9290.3,9400.8,NaN,9666.9,9819.9,9957.3
