n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1988.4,2168.5,2352.3,2542.9,2704.4,2875.7,3029.2,3179.4,3301.9,NaN,3502.7,3648.5,3866.3,NaN,3946.4,4132.2,NaN,4328.8,4475.6,4692.4,NaN,4775.7,4970.2,NaN,5165.4,5317.9,5473.2,NaN,5625.6,5811.2,5965.3,6069.2,6256,NaN,6450.3,6598.2,6822.6,NaN,6905.8,7097.1,NaN,7296,7450,7651.4,7800.3,7909,8091.4,NaN,8286.2,8435.4,8661.5,NaN,8745.7,8943.3,9100.2,9210.2,9411.2,NaN,9608,9784.5
2035.3,2213.9,2397.9,2584.2,2762.5,2945.8,3106,3254.1,NaN,3462.2,3597.4,3730.1,NaN,3914.7,4026,NaN,4281.7,4431.8,4561.4,NaN,4742.3,4856.8,NaN,5119.8,5269.8,5402.1,NaN,5589.4,5724,5890.9,6038,6149.2,NaN,6405.4,6553.8,6683.9,NaN,6873.2,6988.7,NaN,7250.8,7398.5,7534.5,7727.6,7871.2,7989.4,NaN,8240.3,8390.6,8522.4,NaN,8712.9,8830.6,9020.8,9174.5,9294.2,NaN,9562,9707.7,9871.9
