n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2797.5,2939.3,3087.6,3235.2,3382.2,3530.8,NaN,3711.7,3855.3,4063.5,NaN,4144.6,4330.9,NaN,4521.5,4670.6,4864.8,NaN,4965.5,5165.3,5314.7,5425.6,5611.9,NaN,5806.2,5958.2,6227.4,6363.2,6475.5,6671.2,NaN,6865.8,7015.8,7211.8,NaN,7316.2,7513.8,7674.2,7785.4,7969.6,NaN,8163.5,8317.5
2838.6,2996.7,3163.1,3309.4,3458.7,NaN,3664.4,3809,3940.8,NaN,4113.7,4218.4,NaN,4476.4,4625.8,4754.7,NaN,4936.5,5042.3,5235.4,5385.2,5513.1,NaN,5756.8,5904.8,6057.1,6290.1,6437.6,6567.3,NaN,6818.2,6970.5,7099.2,NaN,7283.4,7391.8,7588.9,7748.1,7877.2,NaN,8121.7,8263.6,8402
