n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,f,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1709.2,1859.7,1994,2150,2303.5,2453.8,2599.2,2724.2,NaN,2916.9,3059.7,3279.8,NaN,3360.2,3627.1,3816.7,3977.4,4131.5,4382.2,4534.9,4647.5,5694.9,5851.5,5997.9,6148.9,6272.6,NaN,6460.4,6606.9,6826.8,NaN,6909.1,7112.6,NaN,7301.1,7448.7,7672.2,NaN,7753.8,7950.3,NaN,8145.3,8298.3,8518.5,NaN,8599.8,8812.7,8966.6,9106.7,9269.9,9403.1,NaN,9595.3,9749.8,9972.5,NaN,10057,10259,NaN,10455,10612,10834,NaN,10920,11120,NaN,11317,11474,11938,12088,12197,12382,NaN,12580,12737,12895,NaN,13049,13251,NaN,13453,13615,13832,NaN,13932,14136,14291,14418,14607,NaN,14808,14962,15126,NaN,15313,15508,NaN,15709,15870,16043,NaN,16267,16423,16541,16759,16919,17048,17249,NaN,17450,17607,18042,18188,18337,18490,18617,NaN,18819,18974,19134,NaN,19289,19515,19675,19835,20036,NaN,20237,20393,20570,20862,21031,21145,21351,NaN,21553,21707,21937,NaN,22021,22233,NaN,22436,22604,22879,23039,23160,23351,NaN,23554,23722,23955,NaN,24043,24250,24402,24522,24736,NaN,24940,25104
1742.5,1894.4,2055.2,2223.8,2374.3,2526.3,2677.5,NaN,2866.4,3008.2,3145.9,NaN,3326.9,3431,3692.7,3893.2,4057,4209.3,4449.8,4608,4742.3,5748.7,5918.1,6073,6223.1,NaN,6417.9,6559.5,6692,NaN,6879,6984.8,NaN,7248.9,7398.8,7534.8,NaN,7723.2,7831.6,NaN,8098.4,8243.8,8382.9,NaN,8568.8,8675.3,8884.1,9044,9187.7,9348.6,NaN,9546.9,9699.1,9836,NaN,10024,10135,NaN,10402,10561,10696,NaN,10885,11000,NaN,11271,11428,11563,12002,12163,12275,NaN,12530,12680,12823,NaN,13012,13144,NaN,13403,13552,13697,NaN,13894,14007,14211,14369,14510,NaN,14757,14904,15055,NaN,15244,15408,NaN,15660,15816,15955,NaN,16158,16341,16501,16639,16831,16997,17144,NaN,17399,17533,17691,18110,18264,18414,18570,NaN,18771,18918,19060,NaN,19251,19386,19588,19750,19924,NaN,20186,20338,20480,20685,20937,21107,21244,NaN,21503,21651,21794,NaN,21986,22101,NaN,22388,22514,22683,22940,23119,23254,NaN,23503,23633,23810,NaN,24008,24125,24330,24476,24617,NaN,24886,25031,25187
