n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1983.4,2122.4,2254.3,2397,2543.7,2658.4,NaN,2836.9,2976.2,3188.6,NaN,3267.2,3448.3,NaN,3638.6,3789.1,4004.2,NaN,4086.6,4271.2,NaN,4459.2,4600.2,4785.6,4935.2,5044,5221.5,NaN,5413,5555.7,5770.7,NaN,5848.8,6037.8,NaN,6230.8,6385.1,6595.8,NaN,6679.6,6870.5,NaN,7059.9,7207.4,7431.5,NaN,7510.4,7690,7843.3,7947.6,8130.8,NaN,8322.7,8474.2,8691.1,NaN,8775,8984.1,NaN,9174.8,9326.5,9534.6,9679.6,9784.5,9972.5,NaN,10164,10311,10542,NaN,10622,10820,NaN,11010,11178,11401,NaN,11482,11668,11821,11926,12126,NaN,12322,12477
2024,2169.6,2319.8,2470.6,2616.3,NaN,2785,2938.2,3061.2,NaN,3239.3,3335.5,NaN,3596.7,3739.4,3868.9,NaN,4054.3,4156.5,NaN,4413.2,4558.8,4686.4,4863,5009.3,5109,NaN,5360.8,5511.5,5641.5,NaN,5819.6,5923.9,NaN,6182.7,6332.8,6466.8,NaN,6644.6,6744.3,NaN,7016,7162.5,7292.9,NaN,7479.7,7575.9,7760.8,7912.2,8016.7,NaN,8274.5,8425.4,8558.4,NaN,8741.8,8848.7,NaN,9130.7,9279.9,9409.3,9612,9751.2,9853.5,NaN,10123,10267,10393,NaN,10590,10702,NaN,10965,11114,11261,NaN,11453,11560,11744,11898,11996,NaN,12273,12430,12558
