n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3049.2,3190,3337.2,3482.5,3620.4,3755.8,3898.3,4000.4,NaN,4182.8,4319.1,4525,NaN,4603.8,4783.8,NaN,4967.9,5108.4,5289.9,NaN,5393.2,5573.1,NaN,5756.7,5901.1,6096.1,NaN,6188.3,6379.5,NaN,6568.8,6716.9,6900.6,7039.6,7142.5,7316.6,NaN,7502.8,7644.1,7855.8,8002.8,8111.1,8291.2,NaN,8478.5,8623.2,8833.7,NaN,8916.2,9104,NaN,9292,9434.5,9647.4,NaN,9732,9936.3,10083,10195,10376,NaN,10565,10715,10914,NaN,11012,11206,NaN,11398,11546,11742,NaN,11842,12032,NaN,12222,12370,12564,12710,12821,13008,NaN,13201,13350,13572,NaN,13657,13860,NaN,14054,14207,14425,14571,14685,14863,NaN,15056,15212,15430,NaN,15514,15708,NaN,15904,16060,16283,16428,16534,16725,NaN,16916,17169,17319,17460,17602,17721,NaN,17958,18098,18314,NaN,18399,18603,NaN,18800,18968
3082,3247.7,3412.3,3556.8,3695.3,3828.9,3968.4,NaN,4130.1,4281.8,4404,NaN,4574.5,4684,NaN,4928.9,5072.1,5192.6,NaN,5364.6,5468.3,NaN,5715.3,5860.6,5982.7,NaN,6157.6,6271.5,NaN,6524.3,6667.6,6800.4,6979.7,7113.7,7220,NaN,7459,7603.2,7729.1,7935.8,8072.9,8183.2,NaN,8438.2,8579.6,8708.1,NaN,8881.2,8998.1,NaN,9248.2,9393.5,9516.2,NaN,9697.4,9814.6,10014,10157,10267,NaN,10521,10668,10802,NaN,10982,11091,NaN,11353,11499,11631,NaN,11809,11928,NaN,12175,12323,12454,12639,12781,12922,NaN,13156,13302,13437,NaN,13626,13742,NaN,14008,14157,14292,14498,14645,14761,NaN,15011,15162,15296,NaN,15482,15599,NaN,15859,16010,16145,16361,16495,16614,NaN,16874,16998,17237,17399,17538,17680,NaN,17871,18059,18183,NaN,18368,18477,NaN,18754,18902,19055
