n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
2495.1,2649.3,2821.7,2975.8,3120.9,3266.7,3411.2,3526.9,NaN,3713.9,3852.4,4058.4,NaN,4136.5,4317.6,NaN,4505.4,4650.7,4859.9,NaN,4938,5116.5,5260.8,5365.8,5550.7,NaN,5741.2,5888.5,6113.9,NaN,6196,6382.8,NaN,6576,6690,6959.6,NaN,7037.3,7225.3,NaN,7419.4,7567.4,7763.2,7911.4,8011.9,8198.1,NaN,8393.3,8547.5,8758.9,NaN,8841.3,9034.7,NaN,9229.5,9388.3,9592.9,9739.7,9845,10032,NaN,10226,10374,10580,NaN,10680,10896,11048,11198,11331,NaN,11522,11680,11833,NaN,11982,12186,NaN,12386,12530,12768,NaN,12854,13084,NaN,13271,13423,13641,NaN,13725,13931,NaN,14127,14288,14518,14673,14786,14985,NaN,15182,15337,15497,NaN,15637
2540.1,2703,2880.3,3031.4,3190.6,3345.6,3487.8,NaN,3669.3,3816.6,3934.8,NaN,4109.8,4208.6,NaN,4461.5,4609.3,4733.4,NaN,4912,5012,5188.6,5335.2,5442.3,NaN,5698.5,5844.2,5971.9,NaN,6165.5,6267.4,NaN,6527.5,6654,6809.9,NaN,7007.6,7107.9,NaN,7374.2,7513,7646.5,7840.4,7978.8,8077.4,NaN,8348,8481.8,8629.2,NaN,8807,8911.9,NaN,9181.8,9320.6,9467.9,9668.2,9808.4,9917,NaN,10179,10318,10457,NaN,10643,10767,10962,11122,11269,NaN,11474,11610,11765,NaN,11946,12072,NaN,12335,12472,12617,NaN,12817,12942,NaN,13227,13357,13508,NaN,13690,13800,NaN,14078,14225,14369,14589,14745,14880,NaN,15138,15281,15423,NaN,15601,15725
