n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
1983.2,2191.2,2423.3,2587.6,2924.3,3074.1,3228.2,3384.4,3496.2,NaN,3683.9,3837.7,4056.1,NaN,4124.6,4320.4,NaN,4514.9,4660.4,4815.7,NaN,4962.8,5156.6,NaN,5344.1,5496.2,5682.4,5832.5,5934.7,6119.2,NaN,6312,6466.7,6658.4,6815.4,6920.9,7100.7,NaN,7294.8,7449.2,7665.6,NaN,7748.3,7934.5,NaN,8128,8283.9,8503.6,NaN,8587.9,8782.3,8935.9,9040.3,9225.9,NaN,9420.2,9571.6,9795.9,NaN,9877.2,10087,NaN,10283,10439,10695,10851,10956,11134,NaN,11332,11481,11700,NaN,11783,11971,NaN,12169,12322,12479,NaN,12626,12818,NaN,13017,13179,13388,13550,13654,13841,NaN,14039,14188,14355,NaN,14504,14688,NaN,14888,15044,15271,15426,15532,15724,NaN,15926,16084,16303,NaN,16388,16588,16747,16860,17056,NaN,17256,17415,17620,17798,17912,18117,NaN,18323,18479,18649,NaN,18804
2026.7,2224,2476.7,2825.7,2994.3,3145.3,3302.7,3455.4,NaN,3634.9,3784.9,3923.5,NaN,4099.1,4230.5,NaN,4468.9,4614.3,4739.5,NaN,4926.4,5054.2,NaN,5297.3,5439.8,5576.5,5760.8,5895.5,6007,NaN,6266,6413.4,6549.3,6734.1,6885.9,7018,NaN,7246,7393.5,7530,NaN,7715,7828.9,NaN,8080.5,8235.7,8365,NaN,8552.6,8660.2,8858.9,9005.1,9117,NaN,9372.3,9523.7,9653.3,NaN,9843.8,9951.5,NaN,10238,10387,10521,10775,10925,11037,NaN,11283,11433,11563,NaN,11754,11857,NaN,12119,12268,12408,NaN,12591,12722,NaN,12970,13120,13259,13470,13622,13738,NaN,13990,14134,14272,NaN,14467,14598,NaN,14839,14988,15127,15346,15497,15616,NaN,15879,16025,16168,NaN,16354,16470,16667,16821,16956,NaN,17210,17358,17496,17699,17876,18006,NaN,18270,18422,18562,NaN,18768,18897
