n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3152.8,3299.8,3441.5,3578.8,3718.5,3854.6,NaN,4037,4175.5,4382.5,NaN,4464.6,4642.5,NaN,4825.1,4964.3,5171.3,NaN,5251.4,5428.6,NaN,5613.4,5755.1,5962.7,NaN,6041,6235.3,6386.8,6494.7,6667.9,NaN,6853.6,6993.6,7173.6,7314.8,7420.2,7603.6,NaN,7791.5,7939.7,8145,8294,8398.2,8574.6,NaN,8762.4,8905.3,9116.2,NaN,9197.7,9383.8,NaN,9576.8,9728.8,9962.6,10106,10213,10391,NaN,10579,10726,10942,NaN,11021,11205,NaN,11396,11543,11757,NaN,11853,12045,NaN,12234,12379,12592,12733,12847,13030,NaN,13221,13365,13580,NaN,13663,13865,14019,14162,14278,NaN,14463,14613,14827,NaN,14911,15111,NaN,15305,15454
3212.4,3368.7,3513.4,3655.1,3797.5,NaN,3995.8,4139.9,4259.5,NaN,4426,4534.5,NaN,4784.9,4925.8,5042.2,NaN,5220.8,5322.1,NaN,5571,5712.2,5835.2,NaN,6012.9,6118.8,6311.6,6458.9,6563.9,NaN,6809.1,6953.3,7073.8,7247.9,7384.1,7497.9,NaN,7743.7,7897,8022.3,8222.2,8363.9,8466.9,NaN,8720.2,8859.7,8990,NaN,9165.4,9279.6,NaN,9533.4,9678.5,9811.3,10036,10176,10309,NaN,10533,10681,10808,NaN,10991,11100,NaN,11350,11503,11628,NaN,11823,11938,NaN,12190,12335,12459,12668,12808,12947,NaN,13176,13322,13449,NaN,13632,13736,13936,14098,14237,NaN,14407,14565,14699,NaN,14878,14990,NaN,15261,15411,15540
